product;category
Knorr - Zupa krem z kurek w proszku;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Herbatniki krakuski paluszkki carmelio z masπ karemlowπ ;Pozosta≥e wyroby piekarskie
Dr. Oetker - åmietan-fix w proszku;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Red Bull NapÛj energetyczny kokos-acai 250 ml;Napoje orzeüwiajπce
Basilur - Festival - Frosty Morning 100% czarna liúciasta he...¬†cejloÒska;Herbata
Flaki;Podroby i przetwory podrobowe
Danie tortellini ;Makarony i produkty makaronowe
Bonduelle - mroøona Fasolka szparagowa  øÛ≥ta;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Syrop Teisseire z owocÛw granatu ;Napoje orzeüwiajπce
Lindt Excellence Czekolada ciemna z ekstraktem z papryki chili 100 g;Czekolada
Goliard - Makaron 5 jaj nitki domowe;Makarony i produkty makaronowe
Cisowianka Perlage Naturalna woda mineralna musujπca niskosodowa 0,3 l ;Wody mineralne lub ürÛdlane
Cynaderki;Podroby i przetwory podrobowe
BATATY SUSZONE W KOSTCE, KOSTKA 50g;Pozosta≥e warzywa bulwiaste i przetwory z warzyw bulwiastych
Wafle torcikowe mini orzechowe ;Pozosta≥e wyroby piekarskie
Szynka Bia≥a Soko≥Ûw ;WÍdliny
Auchan - Prosciutto di Parma Szynka parmeÒska wieprzowa sur...¬†dojrzewajπca w plastrach;WÍdliny
Tesco Mieszanka skorupiakÛw i miÍczakÛw morskich blanszowana 225 g;Pozosta≥e przetwory z ryb i owocÛw morza
NaTurek Nasz Kozi Serek do smarowania ≥agodny 150 g;Sery i twarogi
Pasztet z dzika ;Pozosta≥e przetwory miÍsne
Gorπcy kubek Knorr krem z kury ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Wafle Tago ;Pozosta≥e wyroby piekarskie
WπtrÛbka drobiowa 1kg;Podroby i przetwory podrobowe
Tesco Espresso 100% Arabica Kawa palona mielona 250 g;Kawa
Mokate Cappuccino úmietankowe;Kawa
PULPETY W SOSIE POMIDOROWYM MARCHEWKA PAMAPOL 700G;Pozosta≥e przetwory miÍsne
Frytki Aviko Zig Zag karbowane ;Ziemniaki
HOT CHOCOLATE DARK 100g;Kakao i czekolada w proszku
Auchan - Brazil 100% Arabica kawa ziarnista;Kawa
Mlekovita Mleko Polskie spoøywcze 3,2% 1 l;Mleko úwieøe pe≥ne
Podniesiony Kciuk - Galaretka wiúniowa;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Giana HiszpaÒskie oliwki czarne bez pestki w s≥onej zalewie 195 g;Warzywa suszone i pozosta≥e przetwory warzywne
Fanex - Sos remoulada duÒski;Sosy, przyprawy
Buraki - EKO;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Boczek faszerowany do pieczenia;Pozosta≥e przetwory miÍsne
IMPORT EKOWITAL Bataty - Ziemniaki s≥odkie (500g) - BIO (f);Pozosta≥e warzywa bulwiaste i przetwory z warzyw bulwiastych
Wo≥owina w sosie w≥asnym 300g Soko≥Ûw;Pozosta≥e przetwory miÍsne
Tesco Delikatesowa musztarda ≥agodna 200 g;Sosy, przyprawy
Tesco Pomidorki koktajlowe na ga≥πzce 500 g;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Paluszki KapitaÒskie Abramczyk;Pozosta≥e przetwory z ryb i owocÛw morza
Lody Carte D'Or Gelateria Chocolate Brownie ;Lody
Jogurt promen gruszka ;Jogurt
Milka Crunchy Ciastko kakaowe z nadzieniem orzechowym i czekoladπ ;Pozosta≥e wyroby piekarskie
Granat ;Owoce úwieøe lub ch≥odzone
Knorr - Fix s≥odko kwaúny;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Soko≥Ûw Kie≥basa podwawelska;WÍdliny
Tesco OgÛrki w zalewie musztardowej 680 g;Warzywa suszone i pozosta≥e przetwory warzywne
Delecta BudyÒ smak czekoladowy 64 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Proste Historie Warzywa na patelniÍ orientalne 450 g;Gotowe dania
Sos £Åowicz pieczarkowy ;Sosy, przyprawy
Kawa Davidoff Caffe Fine Aroma mielona ;Kawa
Winiary Nasza specjalnoúÊ Barszcz czerwony 49 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Pepsi Bez Kalorii NapÛj gazowany 2 l;Napoje orzeüwiajπce
Øurawina Bakalland ;Owoce suszone i orzechy
Domowa spiøarnia lutenica. ;Warzywa suszone i pozosta≥e przetwory warzywne
Battler Golden Giant Black Star Herbata czarna cejloÒska liúciasta 100 g;Herbata
Algida Big Milk Truskawka Lody 1000 ml;Lody
Kaszka manna jagodowa;Pozosta≥e produkty mleczne
Lisner - Pastella pasta z tuÒczyka z pomidorami;Pozosta≥e przetwory z ryb i owocÛw morza
Huercasa Buraki czerwone gotowane 500 g;Warzywa suszone i pozosta≥e przetwory warzywne
Lavazza Gran Espresso Mieszanka palone ziarna kawy 1000 g;Kawa
Lay's - z Pieca Pieczone chipsy ziemniaczane o smaku grill...¬†papryki 200g;Chipsy
Tesco Value Koncentrat pomidorowy 190 g;Warzywa suszone i pozosta≥e przetwory warzywne
Winiary Kisiel z cukrem smak øurawinowy 77 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
NapÛj mleczny starbucks kawowy espresso ;Pozosta≥e produkty mleczne
MROØONA MIRUNA NOWA ZELANDIA B/SK”RY;Ryby mroøone
Makaron 4-jajeczny Piotr i Pawe≥  piÛra ;Makarony i produkty makaronowe
KRESTO Orzeszki pinii 100 g;Owoce suszone i orzechy
Nudle knorr zupa kurczÍ pieczone kurczÍ pieczone;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Wπtrobianka wieprzowa 250g;Podroby i przetwory podrobowe
Be Raw! - Smoothie Detox Cool Greens;Soki owocowe i warzywne
Piπtnica - Serek TwÛj Smak Puszysty naturalny;Sery i twarogi
Fanta Zero pomaraÒczowa 1l ;Napoje orzeüwiajπce
Gerber - Deserek gruszka, suszona úliwka po 6 miesiπcu;ØywnoúÊ dla dzieci
natka pietruszki ozdobna lokalny rolnik;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Jacobs Kronung Kawa mielona 100 g;Kawa
Marcepan Hildebrand ;Wyroby cukiernicze
Ciasto Dr.oetker sernik na zimno;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Fresh Box - Miks úwieøych owocÛw;Owoce úwieøe lub ch≥odzone
Krakus Kie≥basa krucha od szwagra 260 g;WÍdliny
Gellwe Fix do ubijania úmietany 12 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Mlekovita Mas≥o Polskie czosnkowe 100 g;Mas≥o
Cream Fields Jogurt truskawkowy 330 g;Jogurt
Smiles McCain ;Ziemniaki
Tesco Krewetki bia≥e blanszowane 16-20 sztuk/lb 400 g;Pozosta≥e przetwory z ryb i owocÛw morza
Tesco Polskie WÍdliny Kie≥basa øywiecka 140 g;WÍdliny
Mokate cappuccino  classic;Kawa
Zupa jak u mamy pieczarkowa;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
NapÛj jogurtowy pitny owoce leúne butelka ;Jogurt
GostyÒ Mleko ZagÍszczone S≥odzone Waniliowe 150g;Mleko zagÍszczone i w proszku
Wafelki ryøowe hipp bio jagodowe ;Pozosta≥e wyroby piekarskie
Krem orzechowy ;Margaryna i inne t≥uszcze roúlinne
Basia Mπka wroc≥awska typ 500 1 kg;Mπka i pozosta≥e zboøa
Serenada Ser øÛ≥ty Salami 135 g;Sery i twarogi
Provitus - Chrzan øurawinowy;Warzywa suszone i pozosta≥e przetwory warzywne
Cukiernia Olsza - Biscotti al limone w≥oskie ciastka;Pozosta≥e wyroby piekarskie
Tesco Makaron bezjajeczny pe≥noziarnisty fusilli 500 g;Makarony i produkty makaronowe
Tesco Makaron 8 jajeczny rotini csiga 200 g;Makarony i produkty makaronowe
Cisowianka - Naturalna woda mineralna gazowana 6pak;Wody mineralne lub ürÛdlane
Bataty Nature's Pride 1 kg;Pozosta≥e warzywa bulwiaste i przetwory z warzyw bulwiastych
Danone Actimel Mleko fermentowane o smaku jeøynowo-jagodowym i truskawkowym 1,2 kg (12 x 100 g);Pozosta≥e produkty mleczne
Malina 200 G Maroko;Owoce úwieøe lub ch≥odzone
Ser Mazdamer plastry ;Sery i twarogi
algi morskie úwieøe;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
fuzetea - NapÛj niegazowany o smaku mango z ekstraktem¬†z zielonej herbaty i rumianku;Napoje orzeüwiajπce
Abramczyk - ålimaki winniczki po burgundzku;Owoce morza mroøone
Auchan - Potrawka z kurczaka i ryøu w úmietanie;Pozosta≥e przetwory miÍsne
Orzech - Bigos staropolski jarski produkt bezglutenowy;Gotowe dania
Castelli - Ser Grana Padano;Sery i twarogi
Lipton Ice Tea Lemon NapÛj niegazowany 330 ml;Napoje orzeüwiajπce
Erytrytol;Sztuczne substytuty cukru
Belin - Rumianek herbata zio≥owa ekspresowa 30tb x 1,3g;Herbata
Salatino tuÒczyk z kuskusem per≥owym ;Pozosta≥e przetwory z ryb i owocÛw morza
CZEKOLADA DO PICIA FAIR TRADE BIO 400 g - TERRA ETICA;Kakao i czekolada w proszku
Skoga - Bu≥ki Hamburger Skoga Maxi;Pieczywo
E. Wedel Czekolada mleczna o smaku deseru panna cotta 287 g;Czekolada
Pstrπg filet ze skÛrπ;Ryby úwieøe lub ch≥odzone
Sweetie Gold S≥odzik 72G (1200 Tabletek);Sztuczne substytuty cukru
Krewetki obrane z sosem maúlano-koperkowym;Owoce morza mroøone
Uzdrowisko Krynica-ØegiestÛw - Naturalna woda lecznicza Jan;Wody mineralne lub ürÛdlane
Tesco Paprykarz szczeciÒski 300 g;Pozosta≥e przetwory z ryb i owocÛw morza
Arla Apetina - Snack ser typu feta z oliwkami w zalewie;Sery i twarogi
Iglotex - Pierogi z  truskawkami;Pizza i inne pÛ≥produkty mπczne
Dr. Oetker - Feliciana Classica Pizza Salame e Chorizo salami i...;Pizza i inne pÛ≥produkty mπczne
Franks - RedHot Original - Sos chilli;Sosy, przyprawy
Lavazza Espresso Crema e Aroma Mieszanka palone ziarna kawy 1000 g;Kawa
Musztarda KcyÒska Ostra ;Sosy, przyprawy
prosto z sadu seler naciowy;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Øywiec ZdrÛj - Woda ürÛdlana niegazowana 6 x 1,5L;Wody mineralne lub ürÛdlane
WOJSKOWE PULPETY W SOSIE POMIDOROWYM konserwa 850g;Pozosta≥e przetwory miÍsne
Oak Lane Majonez sto≥owy 400 g;Sosy, przyprawy
Winogrona ciemne - kg;Owoce úwieøe lub ch≥odzone
Bebiko - Mleko modyfikowane 4R z kleikiem ryøowym;ØywnoúÊ dla dzieci
pomidory;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Nerki;Podroby i przetwory podrobowe
Makaron Tagliatelle Cpricciose Rustichella;Makarony i produkty makaronowe
Serek homogenizowany Danio truskawkowy ;Pozosta≥e produkty mleczne
WOJSKOWE PULPETY W SOSIE WARZYWNYM puszka 300g;Pozosta≥e przetwory miÍsne
Jacobs - Kronung Kawa mielona 500g;Kawa
Woda Staropolanka 2000 woda mineralna  lekkogazowana ;Wody mineralne lub ürÛdlane
WÍgorz wÍdzony w miodowej galarecie ;Pozosta≥e przetwory z ryb i owocÛw morza
Lavazza - Qualita Rosa;Kawa
Ser smaøony domowy Frπckowiak;Sery i twarogi
Bogmar Traper - Kalmary indyjskie;Owoce morza mroøone
Grycan Sorbet z malin 500 ml;Lody
Guma Fruittella owocowy ogrÛd;Wyroby cukiernicze
Roszponka;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Ciastka kruche z pola ;Pozosta≥e wyroby piekarskie
Auchan - Kaszka kuskus ekologiczny;Makarony i produkty makaronowe
Liúcie Laurowe Kamis ;SÛl, przyprawy korzenne i zio≥a kulinarne
Bakalland - Mieszanka suszonych owocÛw;Owoce suszone i orzechy
Ananas Premium Miodowy 1Szt;Owoce úwieøe lub ch≥odzone
Mπka gryczana Bio Planet;Mπka i pozosta≥e zboøa
Bezgluten - Bochenek szlachecki ciemny;Pieczywo
Knorr Sos sa≥atkowy paprykowo-zio≥owy 9 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Knorr - Gorπcy Kubek - Barszcz czerwony;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Menii - Smoothie pomaraÒcza, mango, marakuja;Przetwory owocowe
Fanex - Ketchup nr VII;Sosy, przyprawy
Tesco Groch øÛ≥ty po≥Ûwki 500 g;Warzywa suszone i pozosta≥e przetwory warzywne
marinna Truskawki w zalewie 410 g;Przetwory owocowe
Caffee Mazzini - Brasil Santos mielona.;Kawa
Piπtnica - Serek Wiejski z truskawkami¬†Serek Wiejski z truskawkami;Sery i twarogi
Cream Fields Jogurt brzoskwiniowy 330 g;Jogurt
Owocowa Rozkosz Døem agrest z kiwi niskos≥odzony 250 g;Døemy, marmolady i miÛd
Ben & Jerry's - Fudge Brownie lody czekoladowe z kawa≥kami czekola...¬†ciastek brownie;Lody
Makar - åliwki suszone;Owoce suszone i orzechy
Winiary Sos pieczeniowy ciemny 30 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Felix Orzeszki z pieca z solπ 140 g;Przetwory owocowe
P≥atki corn flakes z czekoladπ ;P≥atki úniadaniowe
Pieprz kolorowy ziarnisty w m≥ynku ;SÛl, przyprawy korzenne i zio≥a kulinarne
Tesco Mπka øytnia typ 720 1 kg;Mπka i pozosta≥e zboøa
Mroøona Tilapia nilowa filety bez skÛry Abramczyk 1100g;Ryby mroøone
Hilcona Pieroøki z miÍsem 500 g;Pizza i inne pÛ≥produkty mπczne
E. Wedel Czekolada gorzka o smaku cr?me br?lee 100 g;Czekolada
Goliard Makaron wa≥kowany wstÍgi 400 g;Makarony i produkty makaronowe
Profi Wielkopolski Pasztet z drobiem i czosnkiem 131 g;Pozosta≥e przetwory miÍsne
Smak Chrzan tarty ostry 270 g;Warzywa suszone i pozosta≥e przetwory warzywne
Gellwe S≥odki Kubek Kisiel z kawa≥kami owocÛw wiúnia 30 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Sante Musli Lo bez dodatku cukru z owocami 300 g;P≥atki úniadaniowe
Herbatniki Petit Beurre ;Pozosta≥e wyroby piekarskie
£Åosoú Ustka - Szprot w pomidorach;Pozosta≥e przetwory z ryb i owocÛw morza
Tex Mex Snacks - Paluszki z sosem meksykaÒskim;Pozosta≥e wyroby piekarskie
Lindt 70% Gorzka czekolada nadziewana musem i nadzieniem pomaraÒczowym 150 g;Czekolada
Arbuz;Owoce úwieøe lub ch≥odzone
Polarica åledü po kataloÒsku z przyprawami 600 g;Pozosta≥e przetwory z ryb i owocÛw morza
Bonduelle Groszek tradycyjny 200 g;Warzywa suszone i pozosta≥e przetwory warzywne
Oúmiorniczki baby úwieøe na wagÍ;Owoce morza úwieøe lub ch≥odzone
OSSOBUCO Z JELENIA GICZ;Pozosta≥e miÍsa
Uncle Ben's Ryø risotto 500 g;Ryø
Tymbark Owoce åwiata NapÛj wieloowocowy øurawina 1 l;Napoje orzeüwiajπce
Auchan - Szpinak rozdrobniony mroøony;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Melon Miodowy szt Brazylia;Owoce úwieøe lub ch≥odzone
Knorr Nudle Azja Zupa-danie o smaku kurczak orientalny 70 g;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Krakuski - Herbatniki Kokosowe;Pozosta≥e wyroby piekarskie
szynka z dzika bez koúci, úwieøa;Pozosta≥e miÍsa
MAGA - SurÛwka z ugotowanych buraczkÛw z cebulπ  sosie vi...;Warzywa suszone i pozosta≥e przetwory warzywne
Sun Grown Sok pomaraÒczowy z sokiem ananasowym z zagÍszczonych sokÛw 2 l;Soki owocowe i warzywne
Dallmayr - Prodomo kawa mielona;Kawa
Winogrono jasne ;Owoce úwieøe lub ch≥odzone
Andros - sok z mandarynek 100%;Soki owocowe i warzywne
Hippis gruszki-úliwki-czarne porzeczki ;ØywnoúÊ dla dzieci
Intenson - Olej z zarodnikÛw rzepaku;Pozosta≥e oleje jadalne
Melissa Primo Gusto - Tortellini ze szpinakiem i serem;Makarony i produkty makaronowe
Auchan - Schab wieprzowy bez koúci MAP;MiÍso wieprzowe
Delecta - Owocowy kubek czarny bez;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Pudliszki Koncentrat mocno pomidorowy 32% 195 g;Warzywa suszone i pozosta≥e przetwory warzywne
4Move Active Water Magnez + Witaminy NapÛj niegazowany o smaku cytrusowym 556 ml;Napoje orzeüwiajπce
Soko≥Ûw Gold Kie≥basa krakowska sucha;WÍdliny
Piπtnica TwÛj Smak Serek úmietankowy naturalny 200 g;Sery i twarogi
Motyl - Majonez light;Sosy, przyprawy
Family Fish Krewetki koktajlowe 225 g;Owoce morza mroøone
Dawtona - Cieciorka;Warzywa suszone i pozosta≥e przetwory warzywne
Dawtona - Sos s≥odko-kwaúny;Sosy, przyprawy
MÛødøek, mÛzg wieprzowy Super Stek;Podroby i przetwory podrobowe
Charlotte Czekoladki z nadzieniem i z ca≥ymi orzechami laskowymi 225 g;Czekolada
Kasol Jagoda Mroøona Ca≥a 1 kg Leúne Skarby;Owoce mroøone
Ostromecko Naturalna woda mineralna niegazowana 500 ml;Wody mineralne lub ürÛdlane
Morliny Boczek wÍdzony parzony 150 g;WÍdliny
Oshee NapÛj izotoniczny niegazowany o smaku czerwonej pomaraÒczy 0,75 l;Napoje orzeüwiajπce
Danone Fantasia Jogurt kremowy z brzoskwiniami 122 g;Jogurt
Tesco PrÍga wo≥owa z koúciπ;MiÍso wo≥owe i cielÍce
Jogurt Fantasia z p≥atkami czekolady ;Jogurt
SADSZWEDO Jab≥ka Eko Wital (4 sztuki w opakowaniu) - BIO (f);Owoce úwieøe lub ch≥odzone
Tesco Szpinak 100 g;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Prymat Szafran nitki 0,1 g;SÛl, przyprawy korzenne i zio≥a kulinarne
7 Days - Max Cocoa rogalik z nadzieniem kakaowym;Pozosta≥e wyroby piekarskie
Duda Kie≥basa regionalna zwyczajna;WÍdliny
£Åowicz Kaszotto z kukurydzπ i fasolπ szparagowπ 250 g;Makarony i produkty makaronowe
GdaÒskie M≥yny Chleb ze s≥onecznikiem pe≥noziarnisty mieszanka do wypieku 1 kg;Pozosta≥e produkty zboøowe
Kopernik - Pierniki serca toruÒskie;Pozosta≥e wyroby piekarskie
Tymbark NapÛj jab≥ko arbuz 250 ml;Napoje orzeüwiajπce
Bagietka pszenna 260 g;Pieczywo
Mlekpol - Jogurt truskawkowy 0% t≥uszczu;Jogurt
Podniesiony Kciuk - Herbatniki 100 g;Pozosta≥e wyroby piekarskie
Zupa grochowa amino ;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
Tesco Fromaggio Serek úmietankowy z paprykπ w plastrach 100 g;Sery i twarogi
Provitus - Kapusta zasmaøana babcina;Warzywa suszone i pozosta≥e przetwory warzywne
Koncentrat pomidorowy £Åowicz 30% ;Warzywa suszone i pozosta≥e przetwory warzywne
Groszek mroøony;Warzywa mroøone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Bakalland Mieszanka bakaliowa øurawina nerkowiec migda≥ 100 g;Owoce suszone i orzechy
Dallmayr Professional Caf? Crema Grande Kawa ziarnista 1000 g;Kawa
Biosaurus - Chrupki kukurydziane bezglutenowe z solπ morskπ;Chipsy
MLEKO W PROSZKU ODT£USZCZONE 1Kg SWOJSKA PIWNICZKA5.04More size options;Mleko zagÍszczone i w proszku
Lizak Chupa Chups XXL/29g ;Wyroby cukiernicze
Kubuú 100% Sok pomaraÒcza jab≥ko 300 ml;Soki owocowe i warzywne
KRESTO Sezam 200 g;Owoce suszone i orzechy
Auchan - Czekolada gorzka 70%;Czekolada
Woseba - Cafe Brasil kawa ziarnista;Kawa
Crunchips zØaru Chipsy ziemniaczane o smaku øeberek z grilla 140 g;Chipsy
Tesco Olej rzepakowy 1 l;Pozosta≥e oleje jadalne
rabarbar eko pÍczek;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Majonez Kielecki 170 ml;Sosy, przyprawy
Tesco Muszyna Naturalna woda mineralna wysokozmineralizowana lekko gazowana 1,5 l;Wody mineralne lub ürÛdlane
Syrop malinowy Piotr i Pawe≥;Napoje orzeüwiajπce
Krasnystaw Kefir 500 g;Pozosta≥e produkty mleczne
Celiko - Cukier cynamonowy bezglutenowy;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
DayUp - Blue Puree jab≥kowe z jogurt naturalny,gruszkπ,cza...;Pozosta≥e produkty mleczne
Len mielony sm-pomaranczowy/150g ;Owoce suszone i orzechy
Lipton - NapÛj Ice Tea cytryna;Napoje orzeüwiajπce
M≥ode go≥Íbie na rosÛ≥;Pozosta≥e miÍsa
Tesco Mleko zagÍszczone 340 g;Mleko zagÍszczone i w proszku
Podniesiony Kciuk - Chrzan tarty;Warzywa suszone i pozosta≥e przetwory warzywne
P≥at úledziowy marynowany Sol Fish;Pozosta≥e przetwory z ryb i owocÛw morza
DecoMorreno MV104 czekolada instant do automatÛw 1 kg;Kakao i czekolada w proszku
Indykpol ParÛwki z indyka z serem 215 g;WÍdliny
Cromaris - Dorada úwieøa patroszona MAP;Ryby úwieøe lub ch≥odzone
Danmis - Mleko kozie UHT t≥uszczu 2,5%;Mleko úwieøe niskot≥uszczowe
Tesco Orzeszki ziemne niesolone 200 g;Owoce suszone i orzechy
Tesco Ryø d≥ugoziarnisty bia≥y Basmati 500 g (4 x 125 g);Ryø
Eko alfaet - Amarantus 100% BIO;Mπka i pozosta≥e zboøa
Krakersy lajkonik junior safari ;Pozosta≥e wyroby piekarskie
Jogurt Bakoma Twist malinowy;Jogurt
Pasztet z dzika i jelenia;Pozosta≥e przetwory miÍsne
Øelki nimm2 åmiejøelki Sokki kwaúne ;Wyroby cukiernicze
Blue Dragon - Fix koncentrat kurczak w sosie pomidorowym z chill...;Inne artyku≥y øywnoúciowe, gdzie indziej niesklasyfikowane
kiwi;Owoce úwieøe lub ch≥odzone
Virtu - Pierogi leniwe;Pizza i inne pÛ≥produkty mπczne
úwieøy filet z karpia;Ryby úwieøe lub ch≥odzone
Piπtnica - Serek wiejski light;Sery i twarogi
Tesco Rodzynki 200 g;Owoce suszone i orzechy
4Move Lemon napÛj izotoniczny;Napoje orzeüwiajπce
Helio - orzechy makadamia;Owoce suszone i orzechy
Figi suszone bio Piotr i Pawe≥ ;Owoce suszone i orzechy
Dr. Oetker Guseppe Smaki åwiata Pizza Kebab 420 g;Pizza i inne pÛ≥produkty mπczne
Danone Activia Jogurt ze zboøami 120 g ;Jogurt
IMPORT Ziemniaki s≥odkie - Bataty [na wagÍ] (500g);Pozosta≥e warzywa bulwiaste i przetwory z warzyw bulwiastych
Auchan - Brzoskwinie Po≥Ûwki w syropie;Przetwory owocowe
Auchan - Kasza gryczana bia≥a 4x100g;Mπka i pozosta≥e zboøa
Mlekovita Maúlanka naturalna 400 g;Pozosta≥e produkty mleczne
Pasta TuÒczykowa Piotr i Pawe≥;Pozosta≥e przetwory z ryb i owocÛw morza
Mroøona truskawka kostka 10x10;Owoce mroøone
Deser Hipp kleik ryøowy z owocami;ØywnoúÊ dla dzieci
Øelki Brains ;Wyroby cukiernicze
Mieszanka przypraw úrÛdziemnomorska m≥ynek ;SÛl, przyprawy korzenne i zio≥a kulinarne
Smalec gÍsi 720 ml;Pozosta≥e t≥uszcze zwierzÍce
The Grower's Harvest Pomidorki bankietowe 1 kg;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Przyprawa do kotletÛw mielonych ;SÛl, przyprawy korzenne i zio≥a kulinarne
Przysmaki ba≥kaÒskie lutenica. ;Warzywa suszone i pozosta≥e przetwory warzywne
Seko åledzik na okrπg≥o solony z kolorowym pieprzem 200 g;Ryby i owoce morza suszone, wÍdzone lub solone
Øywiec ZdrÛj Green Tea NapÛj niegazowany zielona herbata miÍta 500 ml;Napoje orzeüwiajπce
ekologiczne buraki okrπg≥e;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Amarantus bio Piotr i Pawe≥;Mπka i pozosta≥e zboøa
Sok jab≥kowy z dodatkiem wiúni Piotr i Pawe≥;Soki owocowe i warzywne
Piekarnia Jutrzenka - Chleb  dworski ca≥y;Pieczywo
Bakoma 7 zbÛø men Jogurt z jab≥kiem pomaraÒczπ i zboøami 300 g;Jogurt
Tesco Value Marmolada wieloowocowa miÍkka 590 g;Døemy, marmolady i miÛd
Coca Cola - napÛj gazowany o smaku cola;Napoje orzeüwiajπce
Melvit Premium Trendy Lunch okisz buraki papryka czosnek niedüwiedzi 320 g (4 x 80 g);Mπka i pozosta≥e zboøa
Poltino - malina;Owoce mroøone
Kawa Little's Instant Irish Cream;Kawa
Nestle - Kaszka mleczno-ryøowa z truskawkami;ØywnoúÊ dla dzieci
Pasta do smarowania z chudπ wieprzowinπ LA CHINATA, 120 g;Pozosta≥e przetwory miÍsne
szczaw;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
Soko≥Ûw Szynka bia≥a 148 g;WÍdliny
Tesco P≥atki pe≥noziarniste øytnie 400 g;P≥atki úniadaniowe
Jasta Sweets - S≥odkie kuleczki. Chrupki o smaku czekoladowo-orze...;Pozosta≥e wyroby piekarskie
TET Lord Grey Herbata czarna 200 g (100 torebek);Herbata
£owickie mleko uht 3,2% 1l;Mleko úwieøe pe≥ne
Serek TwÛj Smak puszysty ze szczypiorkiem;Sery i twarogi
£Åaciaty Serek wiejski z truskawkami 150 g;Pozosta≥e produkty mleczne
Cantina Mexicana - Party Nachos & Cheese Dip;Sosy, przyprawy
Chleb wiejski;Pieczywo
Henryk Kania - Pasztetowa drobiowo-wieprzowa;Pozosta≥e przetwory miÍsne
Lisner TuÒczyk w kawa≥kach w sosie w≥asnym 170 g;Pozosta≥e przetwory z ryb i owocÛw morza
Øelki Haribo winter mix ;Wyroby cukiernicze
S≥odzik do kawy 0 Kalorii 600 tabletek Sweetex Uk4.5154;Sztuczne substytuty cukru
CZEKOLADA DO PICIA FAIR TRADE BIO 400 g - TERRA ET;Kakao i czekolada w proszku
Szynka gotowana wÍdzona ;WÍdliny
Podravka Pomidory krojone w soku pomidorowym klasyczne 390 g;Warzywa suszone i pozosta≥e przetwory warzywne
Przyprawa Harissa ;Sosy, przyprawy
Mlekovita Jogurt z owsiankπ truskawkowy 180 g;Jogurt
Tesco £Åosoú wÍdzony na zimno w plastrach 100 g;Ryby i owoce morza suszone, wÍdzone lub solone
NaturAvena - Mas≥o orzechowe crunchy;Margaryna i inne t≥uszcze roúlinne
Indykpol - Pasztet z indyka do domowego wypieku;Pozosta≥e przetwory miÍsne
Nestle - Miúkopty herbatniki dla niemowlπt;Pozosta≥e wyroby piekarskie
Zio≥a úwieøe - pietruszka w doniczce;Warzywa úwieøe lub ch≥odzone inne niø ziemniaki lub pozosta≥e warzywa bulwiaste
