text;category;label
Sercówki owoce morza;Owoce morza świeże lub chłodzone;01.1.3.3
Taheebo - Nasiona Chia;Owoce suszone i orzechy;01.1.6.3
Mlekovita - Ser żółty Edamski plastry;Sery i twarogi;01.1.4.5
kiełki z soczewicy;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Jagr Smalec wieprzowy 200 g;Pozostałe tłuszcze zwierzęce;01.1.5.5
Tesco Twaróg tłusty 250 g;Sery i twarogi;01.1.4.5
Pestka dyni Bio ;Owoce suszone i orzechy;01.1.6.3
Jacobs Espresso Intenso Kawa mielona w kapsułkach 52 g (10 sztuk);Kawa;01.2.1.1
Delecta Owocowy kubek Kisiel o smaku czarnej porzeczki 30 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Cukier wanilinowy 10 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Mlekpol Maślanka Mrągowska wieloowocowa z owocami leśnymi 1 l;Pozostałe produkty mleczne;01.1.4.6
Aviko - Frytki Original proste;Ziemniaki;01.1.7.4
Winiary - Zupa barszcz czerwony w proszku;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
NaturAvena - Ekologiczne burgery meksykańskie - wegetariańskie ...;Gotowe dania;01.1.9.4
Wiśnie drylowane rolnik ;Przetwory owocowe;01.1.6.4
Zupa jesienno-zimowa Hortex ;Gotowe dania;01.1.9.4
Pieprz ziołowy Kamis  ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Tesco Serek twarogowy napowietrzany z czosnkiem 150 g;Sery i twarogi;01.1.4.5
Oskroba Chleb jaglany 400 g;Pieczywo;01.1.1.3
Danone - Activia Chia jogurt naturalny z chia;Jogurt;01.1.4.4
Magnum Classic Lody 120 ml;Lody;01.1.8.5
Ogórki konserwowe Kozackie ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Olej Monini z pestek winogron;Pozostałe oleje jadalne;01.1.5.4
Auchan - Mięso z indyka na kotlety;Mięso drobiowe;01.1.2.4
Klementynki świeże BIO - około 6 kg;Owoce świeże lub chłodzone;01.1.6.1
Miod lipowy pasieka Brodala ;Dżemy, marmolady i miód;01.1.8.2
Zupa jarzynowy wiosenny przysmak 450g ;Gotowe dania;01.1.9.4
Auchan - Mój Targ Ryb Bielmik filet bez skóry;Ryby świeże lub chłodzone;01.1.3.1
Algida Big Milk Śmietankowe Lody 1000 ml;Lody;01.1.8.5
Knorr Przyprawa do kurczaka po prowansalsku 23 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Podniesiony Kciuk - Herbata Earl Grey ekspresowa 100 szt;Herbata;01.2.1.2
Taumatyna słodzik;Sztuczne substytuty cukru;01.1.8.6
płoć patroszona świeża;Ryby świeże lub chłodzone;01.1.3.1
Pizza z szynką i pieczarkami XXL 1 kg;Pizza i inne półprodukty mączne;01.1.1.5
Finuu klasyczne Miks tłuszczowy do smarowania 200 g;Masło;01.1.5.1
Bulion Knorr z kury 6l ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Oliwier Olej 1 l;Pozostałe oleje jadalne;01.1.5.4
Ser Hochland na gorąco z salami i chili plastry ;Sery i twarogi;01.1.4.5
Mirinda Orange Napój gazowany 330 ml;Napoje orzeźwiające;01.2.2.2
Auchan - Ryż do sushi;Ryż;01.1.1.1
Kumquat 250g;Owoce świeże lub chłodzone;01.1.6.1
Caffee Mazzini - Ethiopia Sidamo kawa mielona;Kawa;01.2.1.1
Nescafe Dolce Gusto Lungo Kawa w kapsułkach 210 g (30 sztuk);Kawa;01.2.1.1
Tesco Ogórki po kaszubsku 680 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
GORĄCA CZEKOLADA W PROSZKU 42% BIO - CHILI;Kakao i czekolada w proszku;01.2.1.3
rukola pakowana;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Lody kostka śnieżna śmietankowa ;Lody;01.1.8.5
HiPP - Deser morele;Żywność dla dzieci;01.1.9.3
House of Asia - Grzyby Shitake suszone;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Kotanyi - Estragon otarty;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Provitus Chrzan z żurawiną 170 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Łapsy - Snaki pszenne o smaku bekonowym;Chipsy;01.1.7.5
Ashoka - Dal Makhani indyjskie danie z fasolą Mung i czerwo...;Gotowe dania;01.1.9.4
Proste Historie Zupa krem z zielonych warzyw 450 g;Gotowe dania;01.1.9.4
GOSTYŃ 500g 4% Light Mleko zagęszczone niesłodzone;Mleko zagęszczone i w proszku;01.1.4.3
Krewetki gotowane z ogonkiem 16/20 mrożone;Owoce morza mrożone;01.1.3.4
Winiary Jak u Mamy Zupa ogórkowa 42 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Lubisie - ABeCe ciasteczka o smaku waniliowym z kawałkami cz...;Pozostałe wyroby piekarskie;01.1.1.4
Piątnica Śmietana do sałatek sosów zup 12% 200 g;Pozostałe produkty mleczne;01.1.4.6
Aire Sano - Szynka z Teruel Dojrzewająca;Wędliny;01.1.2.7
MĂĽller - MĂĽllermilch napój mleczny o smaku czekoladowym;Pozostałe produkty mleczne;01.1.4.6
Morele suszone Piotr i Paweł ;Owoce suszone i orzechy;01.1.6.3
Filety śledziowe z olejem wiejskim z posypką Piotr i Paweł;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Strogonow Primavika ;Gotowe dania;01.1.9.4
Kinder Ostrygi Holenderskie;Owoce morza świeże lub chłodzone;01.1.3.3
Auchan - Olej słonecznikowy;Pozostałe oleje jadalne;01.1.5.4
Zupa Węgierska gulaszowa Knorr Menu ze smakiem ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Vitax Inspirations Pu-Erh and Grejpfrut Herbata czerwona owocowa 39 g (30 torebek);Herbata;01.2.1.2
Knorr Pieprz czarny z Wietnamu mielony 16 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Arla Apetina Ser biały sałatkowy w kostkach 430 g;Sery i twarogi;01.1.4.5
Lubella - Mlekołaki płatki zbożowe kwadraciki z cynamonem;Płatki śniadaniowe;01.1.1.7
Tesco Rozpuszczalna mieszanka kawy zbożowej i kawy instant granulowana 200 g;Kawa;01.2.1.1
Bakoma Jogurt kremowy z malinami i granolą 230 g;Jogurt;01.1.4.4
Dr. Oetker - Lukier niebieski gotowy;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Kiełbasa Polska surowa długodojrzewająca;Wędliny;01.1.2.7
Salatino tuńczyk z owsem i kamutem - 7 zbóż ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
cebula dymka;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Komosa ryżowa 250 g;Mąka i pozostałe zboża;01.1.1.2
Ryż biały długoziarnisty Bio Planet;Ryż;01.1.1.1
Big-Active Zielona herbata z opuncją i mango 34 g (20 torebek);Herbata;01.2.1.2
Knorr Przyprawa do wieprzowiny 23 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Risana Kasza orkiszowa 200 g (2 torebki);Mąka i pozostałe zboża;01.1.1.2
Napój Fuze tea lemon peach hibiscus ;Napoje orzeźwiające;01.2.2.2
Profi Krupnik z mięsem wieprzowym 450 g;Gotowe dania;01.1.9.4
Bracia Koral Lody jak dawniej Śmietankowe z ciasteczkami 900 ml;Lody;01.1.8.5
Danone Dan Mleko czekoladowe 320 g;Pozostałe produkty mleczne;01.1.4.6
Ośmiornica mrożona;Owoce morza mrożone;01.1.3.4
Kujawski Olej rzepakowy z pierwszego tłoczenia 3 l;Pozostałe oleje jadalne;01.1.5.4
Auchan - Sok z warzyw ekologicznych;Soki owocowe i warzywne;01.2.2.3
Masło kozie - Gireau ;Masło;01.1.5.1
Jogurt promen pitny owoce leśne ;Jogurt;01.1.4.4
Kakao Ceremonialne - Peru Piura - 100% Pasta Kakao;Kakao i czekolada w proszku;01.2.1.3
pietruszka;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Tuńczyk king oscar w sosie własnym kawałki ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
agrest czerwony;Owoce świeże lub chłodzone;01.1.6.1
Majonez kętrzyński stołowy ;Sosy, przyprawy;01.1.9.1
Bobovita - Obiadek makaron, warzywa i łagodny kurczak;Żywność dla dzieci;01.1.9.3
Kapusta pekińska 10kg;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Bobovita - Deser gruszki i banan po 4 miesiącu;Żywność dla dzieci;01.1.9.3
Oliwki Jolca z papryką jalapeno;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Przyprawa kebab kuchnia Arabska Kamis;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
szczupak filet;Ryby świeże lub chłodzone;01.1.3.1
Excellence Syrop pędy sosny 320 ml;Napoje orzeźwiające;01.2.2.2
złocica filet;Ryby świeże lub chłodzone;01.1.3.1
Żeberka wołowe USDA CHOICE 1kg - wołowina USA;Mięso wołowe i cielęce;01.1.2.1
Tesco Mąka pszenna typ 650 1 kg;Mąka i pozostałe zboża;01.1.1.2
Tarczyński Kabanos Exclusive bekon 120 g;Wędliny;01.1.2.7
Mleko Bebilon 2 ;Żywność dla dzieci;01.1.9.3
Piątnica Jogurt typu greckiego z brzoskwinią i marakują 150 g;Jogurt;01.1.4.4
Mięso na gulasz ze źrebaka;Pozostałe mięsa;01.1.2.5
Vitax Inspirations Owoce leśne Herbata ziołowo-owocowa 40 g (20 torebek);Herbata;01.2.1.2
TOPINAMBUR jadalny 5kg EKOLOGICZNY odmiana OKRĄGŁA;Pozostałe warzywa bulwiaste i przetwory z warzyw bulwiastych;01.1.7.6
karp filet;Ryby świeże lub chłodzone;01.1.3.1
Kakao NATURALNE niealkalizowane 100g mielone;Kakao i czekolada w proszku;01.2.1.3
Hortex - Mieszanka chińska;Gotowe dania;01.1.9.4
Vitax - Szałwia herbatka ziołowa ekspresowa 20tb x 1,5g;Herbata;01.2.1.2
Gerber - Obiadek kurczak;Żywność dla dzieci;01.1.9.3
Łowicz Konfitura extra z moreli niskosłodzona 240 g;Dżemy, marmolady i miód;01.1.8.2
Sława Kura w galarecie filet;Wędliny;01.1.2.7
Delecta - Budyń z naturalną wanilią;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Boczek wędzony w kostce Piotr i Paweł;Wędliny;01.1.2.7
HiPP - Obiadek młoda marchewka i ziemniaki;Żywność dla dzieci;01.1.9.3
Smalec z gęsi;Pozostałe tłuszcze zwierzęce;01.1.5.5
Szynka Drewnem Wędzona Balcerzak ;Wędliny;01.1.2.7
Czosnek granulowany ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Lestello - Płatki ryżowe błyskawiczne;Pozostałe produkty zbożowe;01.1.1.8
Dawtona Buraczki wiórki 510 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Value Olej rzepakowy 1 l;Pozostałe oleje jadalne;01.1.5.4
Cheesupers - Super Sticks Paluszki z sera Mozzarella;Sery i twarogi;01.1.4.5
Słotwinka - Mineralna woda lecznicza, uzdrowisko Krynica -Zdró...;Wody mineralne lub źródlane;01.2.2.1
Melissa Primo Gusto - Makaron Lasagne;Makarony i produkty makaronowe;01.1.1.6
Batat - fit;Pozostałe warzywa bulwiaste i przetwory z warzyw bulwiastych;01.1.7.6
Mąka pszenna wrocławska  Basia ;Mąka i pozostałe zboża;01.1.1.2
Ogórki konserwowe Orzeł z chilli ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Hortex Sok 100% z delikatnym miąższem jabłko gruszka 1 l;Soki owocowe i warzywne;01.2.2.3
Prymat Oregano suszone 10 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Truskawka 1 Kg Holandia Klasa I;Owoce świeże lub chłodzone;01.1.6.1
Serek kremowy bez laktozy ;Sery i twarogi;01.1.4.5
Łowicz - Dżem 100% z owoców truskawki;Dżemy, marmolady i miód;01.1.8.2
Lizak Chupa Chups fruit ;Wyroby cukiernicze;01.1.8.4
Sos Develey tatarski;Sosy, przyprawy;01.1.9.1
Podniesiony Kciuk - Sok pomidorowy, 100%;Soki owocowe i warzywne;01.2.2.3
Napój Hortex pomarańcza-mango pet ;Napoje orzeźwiające;01.2.2.2
Aksam Beskidzkie Paluszki o smaku ser cebulka 220 g;Pozostałe wyroby piekarskie;01.1.1.4
Milka Choco Biscuit Herbatniki z czekoladą mleczną z mleka alpejskiego 150 g;Pozostałe wyroby piekarskie;01.1.1.4
Teekanne World of Fruits Sweet Cherry Mieszanka herbatek owocowych 50 g (20 x 2,5 g);Herbata;01.2.1.2
Herbata Lipton intense black ;Herbata;01.2.1.2
Sante - Napój ryżowo-kokosowy 100% Vegan;Pozostałe produkty mleczne;01.1.4.6
Casa de Mexico - Tortilla chipsy kukurydziane o smaku chili bezglut...;Chipsy;01.1.7.5
Lay's - Chipsy ziemniaczane o smaku zielonej cebulki 215g;Chipsy;01.1.7.5
Dr. Oetker Ristorante Pizza Salame 320 g;Pizza i inne półprodukty mączne;01.1.1.5
Tesco Finest Pieczywo pszenne drożdżowe 400 g;Pieczywo;01.1.1.3
Filety śledziowe z olejem wiejskim Seko;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Podniesiony Kciuk - Paluszki słone;Pozostałe wyroby piekarskie;01.1.1.4
Kawa Davidoff Cafe Grande Cuvee Rich Aroma rozpuszczalna ;Kawa;01.2.1.1
Mokate Caffetteria Cappuccino z magnezem 18 g;Kawa;01.2.1.1
Sos Develey Węgierski;Sosy, przyprawy;01.1.9.1
Chrzan polski ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
pewni dobrego cebula;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Czekolada do picia o smaku korzennych przypraw Michiru 250g | ORGANIC - FAIRTRADE | Pizca del Mundo;Kakao i czekolada w proszku;01.2.1.3
HiPP - Napój wieloowocowy z dodatkiem witminy C po 6 mies...;Napoje orzeźwiające;01.2.2.2
Tesco Magical Wanilia Kremowe lody na śmietance 1 l;Lody;01.1.8.5
Felix - Pistacje prażone, solone.;Przetwory owocowe;01.1.6.4
Bakoma 7 zbóż Jogurt z truskawkami i ziarnami zbóż 140 g;Jogurt;01.1.4.4
Miód pszczeli wielokwiatowy ;Dżemy, marmolady i miód;01.1.8.2
Drosed - Kurczak zagrodowy waga około 1.7kg;Mięso drobiowe;01.1.2.4
Bali Kitchen - Azjatycki Makaron Wantan;Makarony i produkty makaronowe;01.1.1.6
Tesco Sałatka Florencka 140 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Jurajska - Napój gazowany o smaku limonki 1,5L;Napoje orzeźwiające;01.2.2.2
Sertop Tychy Ser topiony ze szczypiorkiem i cebulą 100 g;Sery i twarogi;01.1.4.5
Dawtona Sok pomidorowy z polskimi ziołami 330 ml;Soki owocowe i warzywne;01.2.2.3
Lajkonik - Paluszki słone;Pozostałe wyroby piekarskie;01.1.1.4
Papryka - czerwona sztuka (waga około 250g);Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Lisner - Pastella  z tuńczyka;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
kalafior romanesco 1 szt;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Polarica Rolmopsy marynowane w zalewie octowej 400 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Złotokłos - Ciastka domowe;Pozostałe wyroby piekarskie;01.1.1.4
Black - Napój energetyzujący Energy Mojito;Napoje orzeźwiające;01.2.2.2
Makaron z mąki orkiszowej wstążka ;Makarony i produkty makaronowe;01.1.1.6
Mrożony granat;Owoce mrożone;01.1.6.2
Cukier Diamant Drobny ;Cukier;01.1.8.1
Dr. Oetker Backin Proszek do pieczenia 30 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Kaktus Lody wodne o smaku cytrynowo-jagodowym 405 ml (9 x 45 ml);Lody;01.1.8.5
Makrela wędzona;Ryby i owoce morza suszone, wędzone lub solone;01.1.3.5
Andros - Sok z ananasa 100%;Soki owocowe i warzywne;01.2.2.3
Chude mleko Ram;Mleko świeże niskotłuszczowe;01.1.4.2
Nestle - Płatki Cini Minis zbożowe, o smaku cynamonowym;Płatki śniadaniowe;01.1.1.7
Mlekovita Ser Morski plastry 500 g;Sery i twarogi;01.1.4.5
farsz wieprzowo-wołowy;Pozostałe przetwory mięsne;01.1.2.8
Kamis - Curry przyprawa;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
EPIC Ślimaki z masłem ziołowym mrożone;Owoce morza świeże lub chłodzone;01.1.3.3
Tesco Finest Papryka słodka suszona mielona 45 g;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Ole! - Pomidory suszone;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
łosoś filet;Ryby świeże lub chłodzone;01.1.3.1
Czekolada choco stick ml 35% z nadzieniem jogurtowo malinowym ;Czekolada;01.1.8.3
Wawel Czekolada mleczna nadziewana krówkowa 100 g;Czekolada;01.1.8.3
Pomarańcze - sztuka około 320g;Owoce świeże lub chłodzone;01.1.6.1
Woda Nałęczowianka delikatnie gazowana 1,5l ;Wody mineralne lub źródlane;01.2.2.1
Mayo Organic Ekologiczna herbatka ziołowa pokrzywa 26 g (20 x 1,3 g);Herbata;01.2.1.2
Nałęczowianka Naturalna woda mineralna niegazowana 0,33 l;Wody mineralne lub źródlane;01.2.2.1
JABŁKA ŚWIEŻE BIO (CHAMPION-POLSKA) (około 1,00 kg);Owoce świeże lub chłodzone;01.1.6.1
Kawa Jacobs Kronung mielona ;Kawa;01.2.1.1
Szprot w sosie pomidorowym Graal ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Tesco Finest Costa Rican Kawa rozpuszczalna liofilizowana 100g;Kawa;01.2.1.1
Mlekovita Wypasiona Śmietanka 30% 330 ml;Pozostałe produkty mleczne;01.1.4.6
Napój funkcjonalny power water's pink grapefruit ;Napoje orzeźwiające;01.2.2.2
Przecier pomidorowy rustica z bazylią ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Danie Makaroni z kurczakiem ;Makarony i produkty makaronowe;01.1.1.6
czosnek mały eko;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Big-Active Zielona herbata z pomarańczą liściasta 100 g;Herbata;01.2.1.2
Kasza Jęczmienna Kupiec ;Mąka i pozostałe zboża;01.1.1.2
Kabanosy wieprzowe mróz. ;Wędliny;01.1.2.7
Starbucks Signature Chocolate Puszka 70% _ 300g;Kakao i czekolada w proszku;01.2.1.3
Konecke - Salami z pieprzem;Wędliny;01.1.2.7
Mieszanka przypraw Kotanyi do gyrosa ;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Dolina Czerska - 100% naturalny, tłoczony sok jabłkowo-marchewkowy ...;Soki owocowe i warzywne;01.2.2.3
Pellini - Top kawa mielona w puszce;Kawa;01.2.1.1
mrożona sieja kanadyjska;Ryby mrożone;01.1.3.2
Kawa Dallmayr Crema d'Oro ziarnista ;Kawa;01.2.1.1
Knorr Gorący Kubek Ogórkowa z grzankami 13 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Zupa Winiary grochowa;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Sos Amino pieczeniowy jasny;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Daktyle suszone drylowane 100 g;Owoce suszone i orzechy;01.1.6.3
Maluta - jogurt bez laktozy wysokobiałkowy;Jogurt;01.1.4.4
CYTRYNA ŚWIEŻA SOCZYSTA LUZ 1 KG - RYNECZEK MESSIS;Owoce świeże lub chłodzone;01.1.6.1
Knorr Gorący Kubek Żurek z grzankami 17 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tesco Makaron bezjajeczny macaroni 500 g;Makarony i produkty makaronowe;01.1.1.6
Pomidory san marzano de care ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Gerber - Brokuły z królikiem i ryżem po 8 miesiącu;Żywność dla dzieci;01.1.9.3
Pieczarki - 0,5 kg;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Filety śledziowe Appel w Sosie słodko-kwaśnym;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Olej kokosowy ;Pozostałe oleje jadalne;01.1.5.4
Serek wiśniowo - czekoladowy eko ;Pozostałe produkty mleczne;01.1.4.6
MyFood Owoce morza Mieszanka owoców morza 5 składników 800 g;Owoce morza mrożone;01.1.3.4
Łosoś Ustka Szprot w sosie pomidorowym 175 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Fix Knorr Świderki z kiełbasą w sosie grzybowym ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Siemię lniane eko ;Owoce suszone i orzechy;01.1.6.3
Kamis - Goździki całe;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Minutka Herbata czarna 140 g (100 torebek);Herbata;01.2.1.2
Łaciate Mleko UHT 0% 1 l;Mleko świeże niskotłuszczowe;01.1.4.2
Tesco Ser Gouda 250 g;Sery i twarogi;01.1.4.5
Sandacz filet ze skórą Myfood mrożony;Ryby mrożone;01.1.3.2
Bombonierka toffifee ;Wyroby cukiernicze;01.1.8.4
Cisowianka Naturalna woda mineralna gazowana niskosodowa 0,5 l;Wody mineralne lub źródlane;01.2.2.1
Cenos - Kasza gryczana prażona;Mąka i pozostałe zboża;01.1.1.2
Le Royal mleko odtłuszczone naturalne 500g;Mleko świeże niskotłuszczowe;01.1.4.2
Kinga Pienińska - Naturalna woda mineralna gazowana 6 x 0,7L;Wody mineralne lub źródlane;01.2.2.1
Davidoff Fine Aroma Kawa rozpuszczalna 100 g;Kawa;01.2.1.1
Tesco Słonecznik łuskany 200 g;Owoce suszone i orzechy;01.1.6.3
Ziemniak myty 2,5 kg ;Ziemniaki;01.1.7.4
Bifix Zielona oryginalna Herbata ekspresowa 40 g (20 saszetek);Herbata;01.2.1.2
Drobimex Pierś pieczona z papryką 100 g;Wędliny;01.1.2.7
Tesco Finest Awokado Hass 320 g (2 sztuki);Owoce świeże lub chłodzone;01.1.6.1
marchew świeża polska bio tacka;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Teekanne - Earl Grey aromatyzowana mieszanka herbat czarnych ...Â bergamotki;Herbata;01.2.1.2
Auchan - Łosoś norweski wędzony  - plastry;Ryby i owoce morza suszone, wędzone lub solone;01.1.3.5
WĘDZONY FILET Z PIERSI KURCZAKA OK 180 G;Wędliny;01.1.2.7
rozmaryn świeży w doniczce duży;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Pomysł na soczystego kurczaka z papryką i ziołami ;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Szparagi białe 500 g;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Buraczki zasmażane Kuchnia Polki ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Czekolada mleczna z wiórkami kokosowymi ;Czekolada;01.1.8.3
czerwona porzeczka;Owoce świeże lub chłodzone;01.1.6.1
Comber z sarny bez kości, świeży;Pozostałe mięsa;01.1.2.5
Tymbark Sok 100% multiwitamina 300 ml;Soki owocowe i warzywne;01.2.2.3
Cukier Królewski Cukier trzcinowy nierafinowany 400 g;Cukier;01.1.8.1
Herbata Big-Active  Pandino biała ;Herbata;01.2.1.2
Breyers Delights Sweet Berry Choc Chip Lody 500 ml;Lody;01.1.8.5
chrzan 500g;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Bogutti - NEXT Kruche ciastka z nadzieniem wiśniowym;Pozostałe wyroby piekarskie;01.1.1.4
Kuchnia Lubelska - Jogurt naturalny Nadbużański;Jogurt;01.1.4.4
Kimbo Aroma Intenso Kawa mielona 250 g;Kawa;01.2.1.1
Tesco Makaron bezjajeczny conchiglie 500 g;Makarony i produkty makaronowe;01.1.1.6
Sardynka w sosie pomidorowym Graal ;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Kaszanka gruba;Podroby i przetwory podrobowe;01.1.2.6
Skrzydło z kurczaka wędzone;Pozostałe przetwory mięsne;01.1.2.8
Płatki fital truskawka, malina, wiśnia ;Płatki śniadaniowe;01.1.1.7
Hochland Ser żółty w plastrach Gouda 135 g (8 sztuk);Sery i twarogi;01.1.4.5
Delecta - Proszek do pieczenia duża porcja;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Tassimo Jacobs Latte Macchiato Classico Kawa mielona 8 kapsułek i mleko 8 kapsułek 264 g;Kawa;01.2.1.1
Van Houten Less Sugar czekolada do picia 750g;Kakao i czekolada w proszku;01.2.1.3
Oryginalna TUSZONKA WOJSKOWA konserwa małpa 850g;Pozostałe przetwory mięsne;01.1.2.8
Hortex - owoce tropikalne;Owoce mrożone;01.1.6.2
Pokarm życia - Kiełki jarmużu;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Gruszka Klapsa;Owoce świeże lub chłodzone;01.1.6.1
Tesco Rukola z roszponką 100 g;Warzywa świeże lub chłodzone inne niż ziemniaki lub pozostałe warzywa bulwiaste;01.1.7.1
Gellwe Słodki Kubek Frugo Kisiel z kawałkami owoców lulo 30 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Valbon Camembert oryginalny 180 g;Sery i twarogi;01.1.4.5
Ciastka Pieguski z czekoladą i orzechami;Pozostałe wyroby piekarskie;01.1.1.4
Tymbark - Sok pikantny pomidor;Soki owocowe i warzywne;01.2.2.3
Tesco Finest Ziemniaki Jazzy 1 kg;Ziemniaki;01.1.7.4
Monini Delicato Oliwa z oliwek najwyższej jakości ;Oliwa z oliwek;01.1.5.3
Ostry dip salsa ;Sosy, przyprawy;01.1.9.1
Przyprawa Kotanyi pieczony kurczak;Sól, przyprawy korzenne i zioła kulinarne;01.1.9.2
Fasola czerwona gotowana na parze ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tassimo Morning Cafe Kawa mielona 124,8 g (16 kapsułek);Kawa;01.2.1.1
Dr. Oetker Ze świata natury Cukier ze skórką cytrynową 15 g;Inne artykuły żywnościowe, gdzie indziej niesklasyfikowane;01.1.9.9
Gerber - Deserek jabłko, morela po 6 miesiącu;Żywność dla dzieci;01.1.9.3
Fasola czerwona Rolnik ;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Ciastka zbożowe Belvita z muesli ;Pozostałe wyroby piekarskie;01.1.1.4
Lisner Śledź w sosie śmietanowym z łososiem 280 g;Pozostałe przetwory z ryb i owoców morza;01.1.3.6
Risana - Ryż biały w torebkach;Ryż;01.1.1.1
Rolnik Fasolka szparagowa zielona 700 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
Tesco Oliwki zielone bez pestek w zalewie 880 g;Warzywa suszone i pozostałe przetwory warzywne;01.1.7.3
