kod;kod4;nazwa_en;zadania_en;zadania_en_2;nazwa_pl
35.13;'3513';Transmission of electricity;operation of high-voltage transmission systems that convey electricity from the generation facility to the distribution system;;Przesyłanie energii elektrycznej
35.14;'3514';Distribution of electricity;"operation of high-voltage, medium-voltage and low-voltage distribution systems (e.g. lines, poles, meters and wiring), which convey electric power received from the generation facility or the transmission system to the end user; rental and leasing of electricity distribution networks; distribution of electricity into electricity mains/networks";;Dystrybucja energii elektrycznej
35.15;'3515';Trade of electricity;sale of electricity on own account;"operation of charging facilities for electric vehicles (e.g. electric cars, motorcycles, scooters, bicycles); operation of charging facilities for electronic devices (e.g. mobile telephones, laptops)";Handel energią elektryczną
35.16;'3516';Storage of electricity;"conversion of electrical energy into a form of energy which can be stored, the storing of such energy, and the subsequent reconversion of such energy into electrical energy (e.g. operation of pump storage facilities, compressed air  storage facilities, or battery storage facilities); distribution of stored electricity into electricity mains/networks ";;Magazynowanie energii elektrycznej
35.21;'3521';Manufacture of gas;"production of gaseous fuels for energy supply through a gas distribution network (e.g. by carbonation of coal, gasification of lignite, electrolysis or methanisation); production of gaseous fuels for energy supply with a specified calorific value, by purification, blending and other processes from gases of various types, including natural gas or hydrogen; production of biogas for the purpose of gas supply (e.g. from sewage sludge, manure, waste); production of gaseous biofuels for energy supply through a gas distribution network";"leansing of biogas for energy supply through a permanent network; regasification of natural gas for distribution through mains";Wytwarzanie paliw gazowych
35.22;'3522';Distribution of gaseous fuels through mains;" transport, distribution and supply of gaseous fuels of all kinds through a system of mains; rental and leasing of gas utility networks";;Dystrybucja paliw gazowych w systemie sieciowym
35.23;'3523';Trade of gas through mains ;sale of gaseous fuels through mains on own account;;Handel paliwami gazowymi w systemie sieciowym
35.24;'3524';Storage of gas as part of network supply services;"storage of gaseous fuels;  storage of hydrogen gas";;Magazynowanie paliw gazowych w ramach usług zaopatrzenia sieciowego
35.3;'3530';Steam and air conditioning supply ;"production, collection and distribution of steam and hot water for heating, power and other purposes; production and distribution of cooled air (e.g. for air conditioning supply); production and distribution of chilled water for cooling purposes; production of ice from natural water for cooling purposes";storage of thermal energy;Wytwarzanie i zaopatrywanie w parę wodną i powietrze do układów klimatyzacyjnych
35.4;'3540';Activities of brokers and agents for electric power and natural gas;"activities of brokers or agents, who arrange the sale of electricity via power distribution systems operated by others; activities of gas brokers or agents, who arrange the sale of gaseous fuels via gas distribution systems operated by others; activities of brokers and agents for commodity and distribution capacity exchanges for gaseous fuels; activities of brokers and agents for the operation of electricity distribution and transmission capacity exchanges for electric power";;Działalność brokerów i agentów w zakresie energii elektrycznej i gazu ziemnego
36.0;'3600';Water collection, treatment and supply;"abstraction of water from rivers, lakes and groundwater; treatment of water for the water supply; desalting of sea or groundwater to produce water as the principal product of interest; distribution of water through mains, by trucks or other means; rainwater harvesting";"operation of irrigation canals; rental and leasing of water distribution networks";Pobór, uzdatnianie i dostarczanie wody
37.0;'3700';Sewerage;"operation of wastewater treatment facilities for reuse (e.g. of agricultural, industrial and road cleaning wastewater or collected rainwater), or for artificial recharge or augmentation of groundwater bodies; collection and transport of wastewater from users (e.g. households or industrial units); collection and transport of rainwater by means of sewerage networks, collectors, tanks and other means of transport (e.g. sewage vehicles, etc.); maintenance and cleaning of sewers and drains, including sewer rodding ";"freeze-drying of sewage sludge by wastewater treatment plants; emptying and cleaning of cesspools and septic tanks, sinks and pits from sewage; servicing of chemical toilets";Odprowadzanie i oczyszczanie ścieków
38.11;'3811';Collection of non-hazardous waste;"collection of non-hazardous solid waste (i.e. garbage) within a local area (e.g. from households and businesses), by means of refuse bins, wheeled bins and containers, which may contain mixed recoverable materials; collection of recyclable materials (separated or not); collection of non-hazardous waste of animal or vegetal origin; collection of used cooking oils and fats; collection of refuse in public places; collection of yard waste";"collection of construction and demolition waste; collection and removal of debris; collection of waste output of industrial plants; operation of waste transfer facilities for non-hazardous waste";Zbieranie odpadów innych niż niebezpieczne
38.12;'3812';Collection of hazardous waste;"Collection of hazardous waste (for example, explosive, oxidising, flammable toxic, irritant, carcinogenic, corrosive, infectious and other substances) and preparations harmful for human health and the environment. The activities may also include identification, treatment, packaging and labelling of waste for the purposes of transport. This class includes:  collection of hazardous waste, e.g.: used oil from ships or garages; paints and varnishes; biohazardous waste; hazardous waste of animal origin; nuclear waste; collection of expired pharmaceuticals; used batteries";operation of waste transfer facilities for hazardous waste;Zbieranie odpadów niebezpiecznych
38.21;'3821';Materials recovery;"processing of metal and non-metal waste, including scrap and other articles into secondary raw materials. Also included is the recovery of materials from waste streams in the form of: separating and sorting recoverable materials from non-hazardous waste streams; or separating and sorting of commingled recoverable materials (for example, paper, plastics, used beverage cans and metals) into distinct categories. Examples of the mechanical or chemical transformation processes that are undertaken include:  mechanical crushing and shredding of metal waste (e.g. from used cars, washing machines or motorcycles); mechanical reduction of large iron pieces (e.g. railway wagons); recovery of iron from clinker; reclaiming metals out of photographic waste (e.g. fixer solution or photographic films and paper); dismantling of wrecks of any type (automobiles, ships, computers, televisions and other equipment) for materials recovery; producing of rubber powder from rubber waste and scrap, including decontamination, division (elimination) of fractions and devulcanising; sorting and mechanical processing (e.g. cleaning, grinding) of plastics to produce secondary raw materials; processing (ageing, cleaning, sorting) of incineration bottom ash into secondary raw materials (metals, aggregates); crushing, cleaning and sorting of glass; crushing, cleaning and sorting of other waste (e.g. demolition waste to obtain secondary raw materials); processing of food, beverage and tobacco waste and residual substances into secondary raw materials; recovery of waste oil, processing of used cooking oils and fats into secondary raw materials; extraction of silver from waste chemicals, other than by electrolytic refining; recovery of phosphorus from the incineration of sewage sludge; recovery of textile and clothing products by mechanical, thermal or chemical processes; production of waste compost; production of biogas from waste, not for the purpose of gas or energy supply";;Odzysk surowców
38.22;'3822';Energy recovery;pretreatment of waste for energy recovery, conversion of waste materials (for example, into usable heat or electricity), through a variety of processes, which include thermal treatment.;This class also includes the activities of waste-to-energy plants.;Odzysk energii
38.23;'3823';Other waste recovery;"preparation of sewage sludge for land treatment resulting in benefits to agriculture or ecological improvement; preparation of non-hazardous waste for reclamation in excavated areas or for engineering purposes in landscaping";;Pozostały odzysk związany z odpadami
38.31;'3831';Incineration without energy recovery;disposal and treatment prior to disposal of waste by combustion or thermal treatment without energy recovery.;;Spalanie odpadów bez odzysku energii
38.32;'3832';Landfilling or permanent storage;"disposal and treatment prior to disposal of non-hazardous or hazardous waste, whether the waste is solid or not, onto or into land (i.e. underground), or in permanent waste storage facilities or sites. operation of landfills for the disposal of waste; treatment of organic waste for landfilling or permanent storage; disposal of by-products of animal origin in landfills";"permanent underground storage of waste in a deep geological cavity (e.g. in salt or potassium mines); storage of captured carbon dioxide";Składowanie odpadów
38.33;'3833';Other waste disposal;"release of liquid waste to seas/oceans or other water bodies, including seabed insertion; injection of pumpable discards into wells, salt domes or naturally occurring repositories";;Pozostałe unieszkodliwianie odpadów
39.0;'3900';Remediation activities and other waste management service activities;"decontamination of soils and groundwater at the place of pollution, either in situ or ex situ, using, e.g. mechanical, chemical or biological methods; decontamination of industrial plants or sites, including nuclear plants and sites; decontamination and cleaning up of surface water following accidental pollution (e.g. through collection of pollutants or through application of chemicals); cleaning up oil spills and other pollutions on land, in surface water, in ocean and seas, including coastal areas; asbestos, lead paint and other toxic material abatement; clearing of landmines, etc., including detonation at the site; other specialised pollution-control activities; carbon capture activities; remediation of mining sites";site remediation containment, control and monitoring services;Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami
41.0;'4100';Construction of residential and non-residential buildings;"construction of complete residential or non-residential buildings, as well as additions and alterations. Outsourcing parts or the whole construction process is possible. If only specialised parts of the construction process are carried out, the activity is classified in Specialised construction activities. This class includes:  construction of all types of buildings: residential buildings; buildings for industrial production (e.g. factories, workshops); hospital, school and office buildings; hotel, store, shopping centre and restaurant buildings; airport buildings; indoor sports facilities; parking garages, including underground parking garages; warehouse buildings; religious buildings; erection of prefabricated buildings requiring on-site assembly";"complete remodelling or renovating of existing residential or non-residential buildings involving several specialised construction activities; construction of air-supported buildings (e.g. air domes)";Roboty budowlane związane ze wznoszeniem budynków mieszkalnych i niemieszkalnych
42.11;'4211';Construction of roads and motorways;"construction of motorways, streets, roads, other vehicular and pedestrian ways; surface work (e.g. paving of roads, motorways or bridges with asphalt, concrete, stone); construction of airfield runways; construction of rough, unpaved mountain bike pathways or trails";;Roboty związane z budową dróg i autostrad
42.12;'4212';Construction of railways and underground railways;"construction of railways, underground railways and subways; construction of electricity overhead lines and conductor rails for railways;";;Roboty związane z budową dróg szynowych i kolei podziemnej
42.13;'4213';Construction of bridges and tunnels;"construction of bridges (e.g. for elevated motorways and railways); construction of tunnels, including those for motorways and railways";;Roboty związane z budową mostów i tuneli
42.21;'4221';Construction of utility projects for fluids;"construction of utility distribution lines for the transport of fluids, including gas, and related buildings and structures that are integral part of these systems. construction of civil engineering structures for: long-distance, underwater and urban pipelines; water mains and water lines; irrigation systems (canals); reservoirs; construction of:  sewerage systems, including repair; sewage treatment and disposal plants; pumping stations";"water well drilling; geothermal drilling";Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych
42.22;'4222';Construction of utility projects for electricity and telecommunications;"construction of distribution lines for electricity and telecommunication and related buildings and structures that are integral part of these systems. construction of civil engineering structures for: long-distance and urban communication and power lines; power plants (e.g. solar and wind energy farms); construction of stations for distribution of electricity";;Roboty związane z budową linii telekomunikacyjnych i elektroenergetycznych
42.91;'4291';Construction of water projects;"construction and reconstruction of, e.g.: waterways, harbour basins, rivers, marinas; hydromechanical structures (e.g. locks, lifts, sluices, slipways); dams and dykes; dredging of waterways (e.g. harbour basins, rivers)";;Roboty związane z budową obiektów inżynierii wodnej
42.99;'4299';Construction of other civil engineering projects n.e.c.;"construction of industrial facilities, except buildings, e.g.: mining facilities (e.g. shafts, towers, tunnels), refineries,chemical plants,grain storage systems; construction of other facilities, except buildings, e.g.: outdoor sports facilities: construction of playgrounds; construction of non-prefabricated swimming pools";;Roboty związane z budową pozostałych obiektów inżynierii lądowej i wodnej, gdzie indziej niesklasyfikowane
43.11;'4311';Demolition;demolition, dismantling or wrecking of buildings and other structures;;Rozbiórka i burzenie obiektów budowlanych
43.12;'4312';Site preparation;" clearing of building sites; earth moving (e.g. excavation, landfill, levelling, trench digging, blasting)";"site preparation for mining: overburden removal and other development and preparation of mineral properties and sites, except oil and gas sites; building site drainage;  drainage of agricultural or forestry land; site preparation for archaeological excavation";Przygotowanie terenu pod budowę
43.13;'4313';Test drilling and boring;test drilling, test boring and core sampling for construction, geophysical, geological or similar purposes;;Wykonywanie wykopów i wierceń geologiczno-inżynierskich
43.21;'4321';Electrical installation;"installation, repair and maintenance of electrical systems in all types of buildings and civil engineering structures. installation of: electrical wiring and fittings, telecommunication wiring; computer network and cable television wiring, including fibre-optic: satellite dishes: lighting systems: fire alarms: burglar-alarm systems: street lighting and electrical signals: airport runway lighting: photovoltaic systems on buildings: power storage systems: installation of chargers for electric vehicles";connecting of electric appliances and household equipment, including baseboard heating;Wykonywanie instalacji elektrycznych
43.22;'4322';Plumbing, heat and air-conditioning installation;installation, repair and maintenance of plumbing, heating and air-conditioning systems, including additions and alterations. installation, maintenance and repair of: heating systems (e.g. heat pumps, solar thermal collectors): furnaces, cooling towers: plumbing and sanitary equipment: ventilation and air-conditioning equipment and ducts: gas fittings: steam piping: sprinkler systems (e.g. fire and lawn sprinkler systems): construction or installation of masonry heater stoves: ductwork installation;installation of medical gas distribution systems in hospitals;Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych i klimatyzacyjnych
43.23;'4323';Installation of insulation;" thermal insulation works (e.g. for pipes, boilers and ducts, interior or exterior, including cladding for insulation); sound insulation works; vibration insulation works; fireproofing works; hydro insulation; internal insulation of roofs";;Montaż izolacji
43.24;'4324';Other construction installation;installation, repair and maintenance of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures. installation in buildings or other construction projects of: elevators, escalators, including stairlifts: automated and revolving doors: lightning conductors: vacuum cleaning systems: blinds and awnings: installation of fences, railings and fire escape staircases: installation of signs, whether illuminated or not: installation and replacement of locks: installation of automatic systems on buildings (e.g. for opening windows and doors); installation of equipment for the personal safety of builders (e.g. to secure lifelines);Wykonywanie pozostałych instalacji budowlanych
43.31;'4331';Plastering;"application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials;  dry-walling of walls and plastering of ceilings";;Tynkowanie
43.32;'4332';Joinery installation;"installation of doors (except automated and revolving), windows, door and window frames, of wood or other materials; installation of fitted kitchens, built-in cupboards, staircases, shopfittings, etc.; interior completion (e.g. of ceilings and movable partitions): installation works for conservatories, verandas and balconies, of wood or other materials: assembly of stands and stalls (e.g. at markets, exhibitions, fairs)";;Zakładanie stolarki budowlanej
43.33;'4333';Floor and wall covering;"laying, tiling, hanging or fitting in buildings or within other constructions of: ceramic, concrete or cut stone wall or floor tiles, ceramic stove fitting
parquet and other wooden floor coverings, wooden wall coverings
";"This class also includes:
- sanding, polishing and sealing of parquet and other wooden floor coverings";"Posadzkarstwo; tapetowanie i oblicowywanie ścian"
43.34;'4334';Painting and glazing;"This class includes: interior and exterior painting of buildings; painting of civil engineering structures installation of glass, mirrors, etc.";coating of metals on buildings and civil engineering structures;Malowanie i szklenie
43.35;'4335';Other building completion and finishing;"finishing work which concludes the construction of a building. installation of prefabricated metal sheets, steel parts, profiles, etc.; ornamentation fitting works on buildings; cladding for exterior walls: erection of curtain walls: erection of steel structures for building completion and finishing: other building completion and finishing work n.e.c. ";;Wykonywanie pozostałych robót budowlanych wykończeniowych
43.41;'4341';Roofing activities;"roof framing works; installation of roof trusses; external insulation of roofs; laying of roof coverings; installation of insulation in roofs; waterproofing of roofs; installation of drains, eaves gutters and rainwater pipes;  installation of roof lights and roof access hatches: installation of snowguards on pitched roofs: installation of roof safety equipment";;Wykonywanie konstrukcji i pokryć dachowych
43.42;'4342';Other specialised construction activities in construction of buildings;" construction activities specialising in one aspect common to construction of buildings, requiring specialised skills or equipment: construction of foundations for buildings, including piledriving; de-humidification of buildings: erection of prefabricated, not self-manufactured, structural steel components for buildings: erection of chimneys and industrial ovens";;Wykonywanie pozostałych specjalistycznych robót budowlanych w zakresie budowy budynków
43.5;'4350';Specialised construction activities in civil engineering;"construction activities specialising in one aspect common in civil engineering, requiring specialised skill or equipment: construction of foundations for civil engineering, including piledriving; shaft sinking; erection of steel elements for civil engineering projects: installation of crash barriers, traffic signs, etc.: erection of noise protection walls (e.g. along roads): installation of street furniture: installation of prefabricated swimming pools: road painting and other marking of streets: erection of protective rock walls and installation of rockfall protection ";;Roboty budowlane specjalistyczne w zakresie inżynierii lądowej i wodnej
43.6;'4360';Intermediation service activities for specialised construction services;intermediation for specialised construction services by bringing clients and service providers together for a fee or commission, without the intermediary providing the specialised construction services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (including face-to-face, door-to-door, telephone, post, and so on). The fee or commission can be received from either the client or the provider of the specialised construction service. Revenue for the intermediation activities can include other sources of income (for example, revenues from the sale of advertising space).;;Usługi pośrednictwa w zakresie specjalistycznych usług budowlanych
43.91;'4391';Masonry and bricklaying activities;bricklaying, block laying, stone setting and other masonry works;;Roboty murarskie
43.99;'4399';Other specialised construction activities n.e.c.;construction activities specialising in one aspect common to different kinds of structures, requiring specialised skill or equipment, n.e.c.: reinforcement steel bending activities, at the construction site, scaffolds and work platform erecting and dismantling: erection of construction site safety equipment: work with specialist access requirements necessitating climbing skills and the use of related equipment (e.g. working at height on tall structures): rental of cranes and other building equipment which cannot be allocated to a specific construction type, with an operator: repairing of reinforced concrete structures (e.g. beams, columns): erection of billboards or advertising columns: concreting works;renovation, renewal, reconstruction and retrofitting of historical and archaeological sites and buildings;Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane
46.11;'4611';Activities of agents involved in the wholesale of agricultural raw materials, live animals, textile raw materials and semi-finished goods;"activities of agents involved in the wholesale of livestock feed; fur skin auctions";;Działalność agentów zajmujących się sprzedażą hurtową płodów rolnych, żywych zwierząt, surowców dla przemysłu tekstylnego i półproduktów
46.12;'4612';Activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals;This class includes the activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals, including fertilisers;;Działalność agentów zajmujących się sprzedażą hurtową paliw, rud, metali i chemikaliów przemysłowych
46.13;'4613';Activities of agents involved in the wholesale of timber and building materials;;"activities of agents involved in the wholesale of: prefabricated buildings and building equipment; pallets and wooden containers and their parts; sanitary equipment";Działalność agentów zajmujących się sprzedażą hurtową drewna i materiałów budowlanych
46.14;'4614';Activities of agents involved in the wholesale of machinery, industrial equipment, ships and aircraft;"activities of agents involved in the wholesale of: machinery, including office machinery and computers, industrial equipment, ships and aircraft; telephone and communication equipment, including mobile telephones, modems, etc.";"activities of agents involved in the wholesale of agricultural equipment, including tractors; activities of agents involved in the wholesale of yachts and recreational boats";Działalność agentów zajmujących się sprzedażą hurtową maszyn, urządzeń przemysłowych, statków i samolotów
46.15;'4615';Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery;Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery;;Działalność agentów zajmujących się sprzedażą hurtową mebli, artykułów gospodarstwa domowego i drobnych wyrobów metalowych
46.16;'4616';Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods;Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods;;Działalność agentów zajmujących się sprzedażą hurtową wyrobów tekstylnych, odzieży, wyrobów futrzarskich, obuwia i artykułów skórzanych
46.17;'4617';Activities of agents involved in the wholesale of food, beverages and tobacco;activities of agents involved in the wholesale of food supplements for human consumption;"activities of agents involved in the wholesale of food for pets; activities of agents involved in the wholesale of food supplements for animal consumption";Działalność agentów zajmujących się sprzedażą hurtową żywności, napojów i wyrobów tytoniowych
46.18;'4618';Activities of agents involved in the wholesale of other particular products;"activities of agents involved in the wholesale of pharmaceutical and medical goods, perfumery and toilet articles, and cleaning materials; activities of agents involved in the wholesale of games and toys, sports goods, bicycles, books, newspapers, magazines and stationery, musical instruments, watches, clocks and jewellery, and photographic and optical equipment: activities of agents involved in the wholesale of cars and light motor vehicles, lorries, trailers and semi-trailers, camping vehicles (e.g. caravans and motorhomes), motorcycles (including mopeds), cycles, motorised personal transport devices, and rolling stock; these motor vehicles include electric vehicles: activities of agents involved in the wholesale of motor vehicle parts and accessories, and parts and accessories for motorcycles, cycles, motorised personal transport devices, and rolling stock: activities of agents involved in the wholesale of waste: activities of wholesale auctioneering houses of third-party goods of motor vehicles, including internet wholesale auctions of motor vehicles ";;Działalność agentów zajmujących się sprzedażą hurtową pozostałych określonych towarów
46.19;'4619';Activities of agents involved in non-specialised wholesale;Activities of agents involved in non-specialised wholesale;;Działalność agentów zajmujących się sprzedażą hurtową niewyspecjalizowaną
46.21;'4621';Wholesale of grain, unmanufactured tobacco, seeds and animal feeds;"wholesale of grains and seeds for planting; wholesale of oleaginous fruits; wholesale of unmanufactured tobacco; wholesale of livestock feed and agricultural raw materials";;Sprzedaż hurtowa zboża, nieprzetworzonego tytoniu, nasion i pasz dla zwierząt
46.22;'4622';Wholesale of flowers and plants;"wholesale of flowers, plants and bulbs; wholesale of seeds of flowers and plants";;Sprzedaż hurtowa kwiatów i roślin
46.23;'4623';Wholesale of live animals;wholesale of pets;;Sprzedaż hurtowa żywych zwierząt
46.24;'4624';Wholesale of hides, skins and leather;wholesale of leather, raw and processed hides, and fur skins;;Sprzedaż hurtowa skór
46.31;'4631';Wholesale of fruit and vegetables;"wholesale of fresh fruits and vegetables; wholesale of legumes; wholesale of dried fruits and vegetables; wholesale of preserved fruits and vegetables; wholesale of frozen fruits and vegetables";wholesale of mushrooms;Sprzedaż hurtowa owoców i warzyw
46.32;'4632';Wholesale of meat, meat products, fish and fish products;"wholesale of meat and meat products; wholesale of poultry and game; wholesale of fish and fish products; wholesale of seafood";"wholesale of tripe, delicatessen (charcuterie), salted meat; wholesale of snails; wholesale of algae and seaweed";Sprzedaż hurtowa mięsa i wyrobów z mięsa oraz ryb i wyrobów z ryb
46.33;'4633';Wholesale of dairy products, eggs and edible oils and fats;"wholesale of dairy products; wholesale of eggs and egg products; wholesale of edible oils and fats of animal or vegetable origin";"wholesale of powdered milk; wholesale of ice creams and sorbets";Sprzedaż hurtowa mleka, wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych
46.34;'4634';Wholesale of beverages;"wholesale of alcoholic beverages; wholesale of non-alcoholic beverages; wholesale of fruit and vegetable juices; wholesale of prepared beverages in cans or bottles";buying of wine in bulk and bottling without transformation;Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych
46.35;'4635';Wholesale of tobacco products;wholesale of tobacco and smoking products and accessories, including lighters, pipes, cigarette rolling equipment, etc.;wholesale of electronic cigarettes (vapes);Sprzedaż hurtowa wyrobów tytoniowych
46.36;'4636';Wholesale of sugar, chocolate and sugar confectionery;"wholesale of sugar, including sugar cubes, molasses, sugar confectionery and chocolate; wholesale of bakery products";;Sprzedaż hurtowa cukru, czekolady i wyrobów cukierniczych
46.37;'4637';Wholesale of coffee, tea, cocoa and spices;Wholesale of coffee, tea, cocoa and spices;;Sprzedaż hurtowa herbaty, kawy, kakao i przypraw
46.38;'4638';Wholesale of other food;This class includes other specialised wholesale activities not already classified in the previous classes (for example, wholesale of salt, vinegar, flour, yeast, honey).;"wholesale of ready-made meals; wholesale of homogenised food preparations and dietetic food; wholesale of food for pets; wholesale of food supplements for human consumption; wholesale of insects (e.g. crickets) which are processed and ready-to-eat";Sprzedaż hurtowa pozostałej żywności
46.39;'4639';Non-specialised wholesale of food, beverages and tobacco;This class includes food, beverages and tobacco products sold in five or more classes of group 46.3. If the products sold comprise up to four classes in group 46.3, the unit is considered a specialised trade and is classified, following the principal activity defined on the basis of its value added, in classes 46.31 to 46.38.;;Sprzedaż hurtowa niewyspecjalizowana żywności, napojów i wyrobów tytoniowych
46.41;'4641';Wholesale of textiles;"wholesale of yarn; wholesale of fabrics; wholesale of household linen, etc.; wholesale of haberdashery: needles, sewing thread, etc.; wholesale of parasols, tarpaulins, sails, parachutes, etc.";;Sprzedaż hurtowa wyrobów tekstylnych
46.42;'4642';Wholesale of clothing and footwear;"wholesale of clothing, including sports clothes; wholesale of clothing accessories (e.g. gloves, ties and braces); wholesale of footwear, including non-specialised sports footwear; wholesale of fur articles; wholesale of umbrellas";wholesale of work clothes, uniforms, costumes;Sprzedaż hurtowa odzieży i obuwia
46.43;'4643';Wholesale of electrical household appliances;"wholesale of electrical household appliances; wholesale of radio and television equipment; wholesale of photographic and optical goods; wholesale of electrical heating and cooling appliances; wholesale of heating equipment using renewable resources: wholesale of heating, ventilation and air-conditioning equipment: wholesale of sewing machines of household-type: wholesale of safety systems and alarms";;Sprzedaż hurtowa elektrycznych artykułów użytku domowego
46.44;'4644';Wholesale of china and glassware and cleaning materials;" wholesale of china and glassware; wholesale of cleaning materials; wholesale of household utensils, crockery and pottery";wholesale of cutlery;Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących
46.45;'4645';Wholesale of perfume and cosmetics;wholesale of perfumes, cosmetics, soaps and toilet paper;;Sprzedaż hurtowa perfum i kosmetyków
46.46;'4646';Wholesale of pharmaceutical and medical goods;"wholesale of pharmaceutical, medical and orthopaedic goods; wholesale of veterinary medicines; wholesale of corrective glasses, lenses and sunglasses; wholesale of medical and surgical instruments; wholesale of hospital equipment";wholesale of non-corrective sunglasses;Sprzedaż hurtowa wyrobów farmaceutycznych i medycznych
46.47;'4647';Wholesale of household, office and shop furniture, carpets and lighting equipment;"wholesale of furniture; wholesale of carpets; wholesale of lighting equipment; wholesale of mattresses and box springs";wholesale of furniture for warehouses, churches, medical facilities and hospitals, etc.;Sprzedaż hurtowa mebli do użytku domowego, biurowego i sklepowego, dywanów i sprzętu oświetleniowego
46.48;'4648';Wholesale of watches and jewellery;Wholesale of watches and jewellery;wholesale of processed precious, natural, synthetic or reconstructed stones;Sprzedaż hurtowa zegarków i biżuterii
46.49;'4649';Wholesale of other household goods;"wholesale of woodenware, wickerwork and corkware, etc.; wholesale of bicycles, electric bicycles, monowheels, hoverboards, kickscooters, Segways, including related parts and accessories; wholesale of stationery, books, magazines and newspapers: wholesale of leather goods, excluding clothing and footwear, and travel accessories: wholesale of musical instruments: wholesale of recorded media: wholesale of games and toys, including party and magic items: wholesale of sports goods, including special sports footwear (e.g. ski boots, football shoes, skates, ballet shoes): wholesale of recreational boats: wholesale of baby equipment (e.g. baby carriages, pushchairs, baby walkers, baby carriers, baby car seats): wholesale of medals and sports cups ";"wholesale of tents and sleeping bags; wholesale in promotional items; wholesale of saucepans and pans; wholesale of imitation jewellery";Sprzedaż hurtowa pozostałych artykułów użytku domowego
46.5;'4650';Wholesale of information and communication equipment;"wholesale of information and communication technology (ICT) equipment. wholesale of computers, computer peripheral equipment and parts; wholesale of smart boards; wholesale of non-customised software, inclluding video games, provided on physical media, with a right to perpetual use: wholesale of electronic valves and tubes: wholesale of semiconductor devices: wholesale of microchips and integrated circuits: wholesale of printed circuits: wholesale of recordable media: wholesale of telephone and communication equipment (e.g. mobile telephones, modems): wholesale of office machinery and equipment";;Sprzedaż hurtowa urządzeń technologii informacyjnej i komunikacyjnej
46.61;'4661';Wholesale of agricultural machinery, equipment and supplies;"wholesale of agricultural and forestry machinery and equipment: ploughs, manure spreaders, seeders; harvesters; threshers; milking machines; poultry-keeping machines, bee-keeping equipment; agricultural and forestry tractors";wholesale of garden and landscaping equipment (e.g. lawn mowers);Sprzedaż hurtowa maszyn i urządzeń rolniczych oraz dodatkowego wyposażenia
46.62;'4662';Wholesale of machine tools; wholesale of machine tools of any type and for any material;wholesale of computer-controlled machine tools;Sprzedaż hurtowa obrabiarek
46.63;'4663';Wholesale of mining, construction and civil engineering machinery;wholesale of mining, construction and civil engineering machinery and equipment, (e.g. excavating machines);;Sprzedaż hurtowa maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
46.64;'4664';Wholesale of other machinery and equipment;"wholesale of machinery for the textile industry and of sewing and knitting machines; wholesale of robots for production lines; wholesale of machinery for the food, beverages and tobacco industry; wholesale of transport equipment (e.g. locomotives, wagons), except motor vehicles, motorcycles and bicycles: wholesale of ships and boats: wholesale of armoured vehicles: wholesale of aircraft, drones and unmanned aircraft systems: wholesale of equipment for fish farming: wholesale of attractions for amusement and theme parks (e.g. mechanical rides): wholesale of equipment for hairdressers, gyms, solariums and beauty centres: wholesale of event technology equipment for events, fairs and exhibitions: wholesale of other machinery n.e.c. for use in industry, trade and navigation and other services: wholesale of other electrical material (e.g. electrical motors, transformers): wholesale of batteries and accumulators for domestic use: wholesale of wires and switches and other installation equipment for industrial use: wholesale of photovoltaic panels: wholesale of weapons, weapon systems and ammunition: wholesale of box pallets: wholesale of reservoirs, tanks, vats and similar containers, capacity exceeding 300 litres, of plastics and for industrial use";"wholesale of measuring instruments and equipment; wholesale of machines for additive manufacturing (3D printers, etc.)";Sprzedaż hurtowa pozostałych maszyn i urządzeń
46.71;'4671';Wholesale of motor vehicles;"wholesale of new and used motor vehicles, including electric vehicles: passenger motor vehicles, including specialised passenger motor vehicles (e.g. ambulances, minibuses); lorries, trailers and semi-trailers; camping vehicles (e.g. caravans, motorhomes)";wholesale of off-road motor vehicles;Sprzedaż hurtowa pojazdów silnikowych z wyłączeniem motocykli
46.72;'4672';Wholesale of motor vehicle parts and accessories;"wholesale of new and used motor vehicle parts, equipment and related accessories like tyres, etc.; wholesale of batteries and accumulators for motor vehicles";;Sprzedaż hurtowa części i akcesoriów do pojazdów silnikowych z wyłączeniem motocykli
