kod czteroznakowy;Nazwa;Synteza;Zadania;Uwagi
7534;Tapicerzy i pokrewni;"Tapicerzy i pokrewni montuj¹, naprawiaj¹ i wymieniaj¹ obicia tapicerskie mebli, wyposa¿enia i przyrz¹dów ortopedycznych; siedzenia, panele, sk³adane i winylowe dachy i inne wyposa¿enie samochodów, wagonów poci¹gowych, samolotów, statków i tym podobnych elementów, przy u¿yciu tkanin, skóry, skaju lub innych materia³ów tapicerskich. Produkuj¹ i naprawiaj¹ poduszki, ko³dry, narzuty i materace, itp.";"Zadania wykonywane przez tapicerów i pokrewnych pracowników zazwyczaj obejmuj¹: uzgadnianie z klientami koloru i stylu materia³u do wyrobu tapicerki i przedstawianie szacunkowych kosztów tapicerowanych mebli lub innych przedmiotów; wykonywanie szablonów tapicerskich na podstawie szkiców, opisów klienta lub rysunków technicznych; rozk³adanie, mierzenie i wycinanie materia³ów na podstawie wzorów, szablonów, szkiców i specyfikacji projektowych; monta¿, ustawianie i mocowanie sprê¿yn, wyœció³ki i pokrycia do ram mebli; rêczne szycie materia³ów tapicerskich przy zszywaniu poduszek i s¹siaduj¹cych fragmentów materia³ów pokryciowych; zszywanie rozdaræ lub pêkniêæ materia³u lub pikowanie przy u¿yciu ig³y i nici; przybijanie, przyklejanie lub przyszywanie ozdobnych wykoñczeñ klamer, galonów, guzików, i innych akcesoriów do obiæ lub ram tapicerowanych przedmiotów; produkcjê i monta¿ tapicerki w samolotach, pojazdach motorowych, wagonach poci¹gów, na ³odziach i statkach; naprawê skórzanego pokrycia sztucznych koñczyn; renowacjê zabytkowych mebli przy u¿yciu rozmaitych narzêdzi, takich jak: d³uta, m³otki magnetyczne i d³ugie ig³y; wspó³pracê z projektantami wnêtrz przy dekoracji pomieszczeñ i koordynacjê pracy zak³adów meblowych; produkcjê narzut, ko³der, poduszek i materaców; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
7535;Wyprawiacze skór, garbarze i pokrewni;Wyprawiacze skór, garbarze i pokrewni zajmuj¹ siê czyszczeniem, garbowaniem, polerowaniem i farbowaniem zwierzêcych skór surowych, skórek zwierz¹t futerkowych lub pow³ok skórnych celem wytworzenia skór wykoñczonych i wyprawionych skór futerkowych, u¿ywanych do produkcji ubiorów i innych produktów.;"Zadania wykonywane przez wyprawiaczy skór, garbarzy i pokrewnych pracowników zazwyczaj obejmuj¹: sortowanie i klasyfikowanie skórek, skór surowych i pow³ok skórnych wed³ug koloru, odcienia, rozmiaru i gêstoœci; zeskrobywanie resztek miêsa, t³uszczu lub tkanki ochronnej z pow³ok skórnych i skórek celem ich oczyszczenia lub zmiêkczenia; usuwanie sierœci z pow³ok";
7536;Obuwnicy i pokrewni;Obuwnicy i pokrewni zajmuj¹ siê wytwarzaniem, modyfikowaniem i naprawianiem obuwia standardowego, wytwarzanego na zamówienie i ortopedycznego.;"Zadania wykonywane przez obuwników i pokrewnych pracowników zazwyczaj obejmuj¹: wytwarzanie, modyfikowanie i naprawê obuwia standardowego aby dostosowaæ je do wymagañ klientów indywidualnych; wytwarzanie, modyfikowanie i naprawê obuwia ortopedycznego lub terapeutycznego, zgodnie z zaleceniami lekarzy oraz modyfikowanie istniej¹cego obuwia dla osób maj¹cych problemy ze stopami lub osób o specjalnych potrzebach; sporz¹dzanie odlewów gipsowych zdeformowanych nóg lub stóp celem przygotowania rysunków; sporz¹dzanie wk³adek, podk³adek pod piêty oraz fleki na bazie odlewów stóp klientów; studiowanie rysunków i innej dokumentacji celem wytworzenia obuwia zgodnego z potrzebami klienta; analizê zleceñ w celu uzyskania informacji o zapotrzebowaniu i rodzajach materia³ów, których nale¿y u¿yæ; sprawdzanie tekstury, koloru i wytrzyma³oœci skóry celem upewnienia siê, ¿e jest ona odpowiednia do okreœlonego przeznaczenia; wycinanie, zszywanie, formowanie i impregnowanie czêœci przeznaczonych do produkcji obuwia, monta¿ obuwia i mocowanie dodatkowych akcesoriów lub ozdób; zszywanie rozdaræ lub ³atanie dziur celem naprawy obuwia; badanie obuwia, jego czêœci i wzorów celem sprawdzenia zgodnoœci z dokumentacj¹ produkcyjn¹; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
7537;Kaletnicy, rymarze i pokrewni;Kaletnicy, rymarze i pokrewni wytwarzaj¹, modyfikuj¹ i naprawiaj¹ wyroby galanteryjne ze skóry, materia³ów syntetycznych i w³ókienniczych, takie jak: portfele, torebki, torby podró¿ne i paski (z wyj¹tkiem ubiorów skórzanych, kapeluszy i rêkawiczek) oraz wyroby rymarskie ze skóry, takie jak siod³a, uprzê¿e, artyku³y sportowe i galanteria dla psów, a tak¿e wykonuje prace zwi¹zane z wytwarzaniem i napraw¹ czêœci skórzanych, tekstylnych i pasmanteryjnych do protez koñczyn dolnych i górnych oraz gorsetów ortopedycznych.;"Zadania wykonywane przez kaletników, rymarzy i pokrewnych pracowników zazwyczaj obejmuj¹: wytwarzanie i naprawê takich artyku³ów, jak: siod³a i uprzê¿e, torby podró¿ne, torby podrêczne, walizki, paski i inne akcesoria; wykonywanie, modyfikowanie i naprawê elementów do protez koñczyn, aparatów i gorsetów ortopedycznych, zgodnie z wymogami i zaleceniami lekarskimi; sporz¹dzanie modeli gipsowych produktów ortopedycznych; sporz¹dzanie modeli wzorów wyrobów kaletniczych i rymarskich, wykonywanie rysunków zaprojektowanych wzorów oraz przygotowanie szablonów; dobieranie materia³ów na elementy wyrobów wed³ug przeznaczenia i przydatnoœci na okreœlone wyroby; wycinanie, zszywanie i monta¿ elementów wyrobów, mocowanie dodatkowych akcesoriów lub ozdób; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
7541;Nurkowie;Nurkowie pracuj¹ pod powierzchni¹ wody, przy wykorzystaniu podwodnej aparatury oddechowej (akwalungów) w celu dokonania inspekcji, instalacji, naprawy i usuniêcia sprzêtów i konstrukcji, przeprowadzenia testów lub eksperymentów, przytwierdzania materia³ów wybuchowych, fotografowania konstrukcji lub ¿ycia podwodnego oraz znajdowania i wydobywania poszukiwanych przedmiotów i osób.;"Zadania wykonywane przez nurków zazwyczaj obejmuj¹: przestrzeganie zasad bezpieczeñstwa, poprzez monitorowanie czasu trwania i g³êbokoœci zanurzeñ oraz zg³aszanie ekspedycji nurkowej odpowiednim s³u¿bom; sprawdzanie i konserwacjê sprzêtu do nurkowania, takiego jak: kaski, zbiorniki powietrza, skafandry nurkowe, uprzê¿e i przyrz¹dy pomiarowe; zanurzanie siê w wodzie przy asyœcie pomocników, przy wykorzystaniu akwalungów lub skafandrów nurkowych; wykonywanie pracy pod powierzchni¹ wody celem montowania i naprawy mostów, molo oraz fundamentów œcian portowych; sprawdzanie kad³ubów statków i instalacji podwodnych celem wykrycia uszkodzeñ oraz dokonywanie drobnych napraw; sk³adanie sprawozdañ ze stanu, w jakim znajduj¹ siê wraki statków; usuwanie podwodnych przeszkód; wiercenie otworów do podwodnych prac minerskich; wykonywanie ró¿nych podwodnych czynnoœci zwi¹zanych z ratownictwem lub wydobywaniem cia³; utrzymywanie kontaktu z pracownikami nad powierzchni¹ wody przy u¿yciu lin sygna³owych lub telefonów; uzyskiwanie informacji o zadaniach nurkowych i warunkach œrodowiska; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
7542;Strza³owi i pokrewni;Strza³owi i pokrewni zajmuj¹ siê umieszczaniem, montowaniem i detonowaniem materia³ów wybuchowych na terenach kopalñ, w kamienio³omach i przy wyburzaniu obiektów.;"Zadania wykonywane przez strza³owych i pokrewnych pracowników zazwyczaj obejmuj¹: zapewnienie bezpieczeñstwa w miejscu pracy i przy obchodzeniu siê z materia³ami wybuchowymi, kontrolê przestrzegania procedur i przepisów magazynowania i transportu; planowanie i wydawanie instrukcji dotycz¹cych rozmieszczenia, g³êbokoœci i œrednicy otworów strza³owych; sprawdzanie g³êbokoœci i czystoœci otworów strza³owych; okreœlanie iloœci i rodzaju wykorzystywanych materia³ów wybuchowych; umieszczanie materia³ów wybuchowych w otworach strza³owych; montowanie lub kierowaniem monta¿em sp³onek wykonywanych przez innych pracowników, przy wykorzystaniu detonatorów i naboi udarowych, pod³¹czenie drutów elektrycznych, zapalników i lontów detonuj¹cych do sp³onek; szeregowe pod³¹czanie drutów, zapalników i lontów detonuj¹cych, testowanie obwodów elektrycznych i dokonywanie napraw niesprawnych elementów oraz pod³¹czanie szeregu do zapalarek; przykrywanie naboi, wype³nianie otworów strza³owych py³em skalnym, piaskiem i innymi materia³ami oraz przybitkami celem ubicia naboi; upewnianie siê, ¿e wszystkie materia³y wybuchowe zosta³y zdetonowane, a tak¿e sk³adanie raportów i nadzorowanie miejsca, w którym nast¹pi³ niewypa³; zapewnianie bezpieczeñstwa obszarów, na których prowadzone s¹ prace strza³owe przed i po detonacji materia³ów wybuchowych; gromadzenie i zachowywanie zapisów dotycz¹cych stosowania materia³ów wybuchowych zgodnie z przepisami.";
7543;Klasyfikatorzy wyrobów przemys³owych;Klasyfikatorzy wyrobów przemys³owych kontroluj¹, testuj¹, segreguj¹, pobieraj¹ próbki oraz wa¿¹ surowce, wytworzone komponenty oraz produkowane i sprzedawane towary nie¿ywnoœciowe w celu sprawdzenia ich zgodnoœci z normami jakoœci, identyfikacji braków, œladów zu¿ycia i odchyleñ od specyfikacji oraz sklasyfikowania ich wed³ug klas jakoœci.;"Zadania wykonywane przez klasyfikatorów wyrobów przemys³owych zazwyczaj obejmuj¹: kontrolê i testowanie produktów i ich czêœci oraz materia³ów pod k¹tem ich zgodnoœci ze specyfikacjami i normami; odrzucanie produktów, materia³ów i sprzêtów niespe³niaj¹cych warunków zawartych w specyfikacjach; analizê i interpretacjê projektów, danych, instrukcji obs³ugi i innych materia³ów celem okreœlenia procedur kontroli i testowania; mierzenie wymiarów produktów przy u¿yciu takich narzêdzi, jak: przymiar liniowy, suwmiarka, cyrkiel kalibrowy, szablon lub mikrometr; analizowanie danych testowych, w razie koniecznoœci, przeprowadzanie obliczeñ celem okreœlenia wyników testów; zapisywanie danych kontrolnych i testowych oraz iloœæ sprawdzonych lub sklasyfikowanych towarów;";
7544;Robotnicy zwalczania szkodników i chwastów;Robotnicy zwalczania szkodników i chwastów stosuj¹ œrodki chemiczne w celu usuniêcia szkodliwych owadów, ma³ych zwierz¹t, dziko rosn¹cej roœlinnoœci i innych niepo¿¹danych organizmów w celu zapobie¿enia wyst¹pienia szkód, w uprawach, budynkach i innych konstrukcjach oraz ich otoczeniu oraz w celu zapobie¿enia wyst¹pieniu zagro¿eñ dla zdrowia.;"Zadania wykonywane przez robotników zwalczania szkodników i chwastów zazwyczaj obejmuj¹: obs³ugê i monitorowanie sprzêtu do zwalczania szkodników i chwastów; mieszanie œrodków chemicznych zgodnie z instrukcjami; wykonywanie oprysków terenu œrodkami chemicznymi (pestycydami) w celu zwalczania szkodników lub chwastów, z uwzglêdnieniem warunków pogodowych; przeprowadzanie dezynsekcji w budynkach przez opryskiwanie pomieszczeñ roztworami chemicznymi lub rozpylanie toksycznych gazów w celu zwalczania robactwa domowego; przeprowadzanie deratyzacji w budynkach i ich otoczeniu poprzez ustawianie pu³apek i rozk³adanie trucizn w wytypowanych miejscach w celu zwalczania gryzoni; informowanie mieszkañców o niebezpieczeñstwach i zagro¿eniach dla ludzi, wynikaj¹cych z zastosowania danego œrodka oraz niezbêdnej ostro¿noœci i czasie dzia³ania preparatu oraz oznakowywanie, z zastosowaniem w³aœciwej symboliki, miejsc prowadzenia deratyzacji; przestrzeganie zasad obowi¹zuj¹cych w czasie pos³ugiwania siê œrodkami chemicznymi z uwagi na ochronê w³asn¹ i œrodowiska, czyszczenie i obs³ugê techniczn¹ sprzêtu w celu zapewnienia jego sprawnoœci; powadzenie dokumentacji przeprowadzonych zabiegów; wykonywanie innych zadañ pokrewnych.";
7549;Robotnicy przemys³owi i rzemieœlnicy gdzie indziej niesklasyfikowani;"Ta grupa elementarna obejmuje robotników przemys³owych i rzemieœlników
niesklasyfikowanych w innych grupach elementarnych w ramach grupy
7. Robotnicy przemys³owi i rzemieœlnicy. Grupa ta obejmuje na przyk³ad osoby zajmuj¹ce siê montowaniem znaków nawigacyjnych.";"Zadania wykonywane przez robotników przemys³owych i rzemieœlników gdzie indziej niesklasyfikowanych zazwyczaj obejmuj¹: monta¿, demonta¿, remontowanie i konserwowanie elementów p³ywaj¹cego oznakowania nawigacyjnego; obs³ugê i usuwanie bie¿¹cych awarii sta³ego i p³ywaj¹cego oznakowania nawigacyjnego (w terenie i na wodzie); prace zwi¹zane z transportem poziomym, za³adunkiem i roz³adunkiem oznakowania";
8111;Górnicy podziemnej i odkrywkowej eksploatacji z³ó¿ i pokrewni;Górnicy podziemnej i odkrywkowej eksploatacji z³ó¿ i pokrewni wykonuj¹ roboty udostêpniaj¹ce i przygotowawcze do eksploatacji z³ó¿, obs³uguj¹ maszyny i urz¹dzenia oraz wykorzystuj¹ narzêdzia rêczne przeznaczone do wydobywania kopalin sta³ych (wêgla, rud, ska³ i innych) w kopalniach podziemnych i odkrywkowych.;"Zadania wykonywane przez górników podziemnej i odkrywkowej eksploatacji z³ó¿ i pokrewnych pracowników zazwyczaj obejmuj¹: ustawianie, obs³ugê i monitorowanie dzia³ania ró¿nych podziemnych i odkrywkowych urz¹dzeñ górniczych, w tym maszyn górniczych o dzia³aniu ci¹g³ym i urz¹dzeñ tn¹cych i kopi¹cych rowy poszukiwawcze; nastawianie i obs³ugê sprzêtu wiertniczego w kopalniach i kamienio³omach podziemnych i odkrywkowych; obs³ugê maszyn i korzystanie z narzêdzi usuwaj¹cych luŸne ska³y, rudy, wêgiel i inne z³o¿a; przygotowywanie, monta¿ i instalacjê obudów w miejscach prowadzenia prac podziemnych; obs³ugê maszyn stosowanych przy otwieraniu nowych szybów, wyrobisk, odpowietrzników i dowierzchni; obs³ugê urz¹dzeñ pomocniczych, takich jak pompy odsysaj¹ce powietrze, wodê i szlam; ³adowanie i transport urobku; likwidowanie wyrobisk podziemnych; dokonywanie przegl¹dów, prowadzenie niewielkich prac konserwacyjnych i dokonywanie niewielkich napraw maszyn i urz¹dzeñ oraz narzêdzi; dokonywanie wpisów w dokumentacji zawieraj¹cej szczegó³y dotycz¹ce dzia³añ prowadzonych w trakcie ka¿dej zmiany; pobieranie próbek kopalin z wyrobisk na potrzeby analizy laboratoryjnej; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8112;Operatorzy maszyn i urz¹dzeñ do przeróbki mechanicznej kopalin;Operatorzy maszyn i urz¹dzeñ do przeróbki mechanicznej kopalin obs³uguj¹ i nadzoruj¹ maszyny i urz¹dzenia do rozdrabniania, oczyszczania, sortowania i innej obróbki ska³, wêgla, rud, torfu i kamienia w celu uzyskania produktów przeznaczonych do bezpoœredniego u¿ytku lub do dalszego przetwarzania.;"Zadania wykonywane przez operatorów maszyn i urz¹dzeñ do przeróbki mechanicznej kopalin zazwyczaj obejmuj¹: nastawianie i obs³ugê stacjonarnych urz¹dzeñ szlifuj¹cych, krusz¹cych, tn¹cych, pi³uj¹cych i skrawaj¹cych ska³y, kopaliny i kamienie, zgodnie ze specyfikacjami dla tego typu pracy; umieszczanie bloków i p³yt kamiennych na maszynach celem ich pi³owania i ciêcia oraz prowadzenia dalszych prac; monitorowanie i utrzymywanie przep³ywu nieprzetworzonych ska³, kopalin i kamieni z przenoœników do maszyn; obs³ugê sprzêtu myj¹cego, oddzielaj¹cego, ³uguj¹cego, zraszaj¹cego, filtruj¹cego,";
8113;Operatorzy urz¹dzeñ wiertniczych i wydobywczych ropy, gazu i innych surowców;Operatorzy urz¹dzeñ wiertniczych i wydobywczych ropy, gazu i innych surowców instaluj¹ i obs³uguj¹ urz¹dzenia wiertnicze i pokrewny sprzêt, przeznaczone do pog³êbiania odwiertów i wydobywania ropy naftowej, gazu ziemnego, wody, siarki i soli.;"Zadania wykonywane przez operatorów urz¹dzeñ wiertniczych i wydobywczych ropy, gazu i innych surowców zazwyczaj obejmuj¹: demontowanie, przenoszenie i montowanie wiertnic i sprzêtów pomocniczych; montowanie i demontowanie ¿erdzi wiertniczych, orurowania i g³owic wiertnic oraz dokonywanie wymiany niesprawnego sprzêtu; obs³ugê urz¹dzeñ steruj¹cych celem opuszczania do i podnoszenia z odwiertów ¿erdzi wiertniczych i orurowania, regulowanie ciœnienia w odwiercie i kontrolowanie prêdkoœci dzia³ania narzêdzi; przygotowywanie p³uczki wiertniczej i sprawdzanie dzia³ania pomp celem zapewnienia odpowiedniego przep³ywu p³uczki w ¿erdzi wiertniczej i odwiercie; monitorowanie przyrz¹dów pomiarowych i innych wskaŸników w celu wykrycia niesprawnoœci i niestandardowych warunków wiercenia oraz stwierdzanie potrzeby zmiany sposobu wiercenia lub wymiany sprzêtu; konserwacjê, regulowanie, naprawê i czyszczenie wiertnic, wci¹gników i innych maszyn; prowadzenie rejestru odwiertów i obs³ugi; obs³ugê maszyn i narzêdzi przeznaczonych do wydobywania piasku, zwiercin oraz zagubionych i zniszczonych sprzêtów wiertniczych z otworów i odwiertów; zamykanie i uszczelnianie nieu¿ywanych odwiertów. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie i szkolenie cz³onków za³ogi.";
8114;Operatorzy maszyn i urz¹dzeñ do produkcji wyrobów cementowych, kamiennych i pokrewni;Operatorzy maszyn i urz¹dzeñ do produkcji wyrobów cementowych, kamiennych i pokrewni obs³uguj¹ i monitoruj¹ pracê maszyn przeznaczonych do wytwarzania i obróbki wykoñczeniowej ró¿nych prefabrykatów budowlanych z betonu, kamienia i innych materia³ów.;"Zadania wykonywane przez operatorów maszyn i urz¹dzeñ do produkcji wyrobów cementowych, kamiennych i pokrewnych pracowników zazwyczaj obejmuj¹: obs³ugê maszyn wyt³aczaj¹cych, mieszaj¹cych, pompuj¹cych, szlifuj¹cych i tn¹cych, przeznaczonych do wytwarzania i obróbki wykoñczeniowej prefabrykowanych elementów betonowych i kamiennych; obs³ugê urz¹dzeñ przeznaczonych do wytwarzania cementu, wapna i klinkieru, w tym urz¹dzeñ ³aduj¹cych i roz³adowuj¹cych sk³adniki mieszanin oraz podajników o dzia³aniu ci¹g³ym, takich jak: pompy lub przenoœniki; obs³ugê urz¹dzeñ i maszyn odwa¿aj¹cych i mieszaj¹cych piasek, ¿wir, cement, wodê i inne sk³adniki w celu wytworzenia betonu lub asfaltobetonu; obs³ugê urz¹dzeñ s³u¿¹cych do prowadzenia procesu przyspieszonego dojrzewania betonów (hartowania); obs³ugê urz¹dzeñ i maszyn montuj¹cych i wype³niaj¹cych formy betonem i mieszankami ze sztucznego kamienia, wyjmowanie odlewów z form i obróbkê wykoñczeniow¹ powierzchni elementów prefabrykowanych; ciêcie, szlifowanie, wiercenie, piaskowanie i polerowanie produktów betonowych, bloków i p³yt kamiennych, itp. produktów; obs³ugê agregatów i urz¹dzeñ do formowania gipsowych taœm tynkowych, bloków, pustaków stropowych, p³yt pod³ogowych, posadzkowych i elementów wielkowymiarowych; sprawdzanie planów i dokumentacji produkcyjnej w celu okreœlenia i wyboru materia³ów, sk³adników, procedur, komponentów, ustawieñ i regulacji maszyn wyt³aczaj¹cych, mieszaj¹cych i ubijaj¹cych; monitorowanie urz¹dzeñ i maszyn w trakcie ich pracy poprzez obserwacjê mierników temperatury i ciœnienia oraz regulacjê urz¹dzeñ steruj¹cych i, w razie koniecznoœci, zg³aszanie niesprawnoœci; pobieranie i badanie próbek mieszanin i gotowych produktów celem sprawdzenia ich zgodnoœci ze specyfikacjami i odpowiedniej regulacji ustawieñ maszyn; sprawdzanie i prowadzenie rejestrów produkcji, w tym informacji o iloœciach, wymiarach rodzajach wyprodukowanych materia³ów i towarów; organizowanie i asystowanie przy czynnoœciach konserwacyjnych i naprawczych urz¹dzeñ i maszyn; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8121;Operatorzy maszyn i urz¹dzeñ do produkcji i przetwórstwa metali;Operatorzy maszyn i urz¹dzeñ do produkcji i przetwórstwa metali obs³uguj¹, monitoruj¹, reguluj¹ i konserwuj¹ wyspecjalizowane maszyny i urz¹dzenia do przetwarzania i konwersji rud minera³ów oraz rafinowania, hartowania, walcowania i wyt³aczania metali.;"Zadania wykonywane przez operatorów maszyn i urz¹dzeñ do produkcji przetwórstwa metali zazwyczaj obejmuj¹: nastawianie, przygotowywanie i regulowanie maszyn do przetwarzania rud minera³ów i metali; obs³ugê wyspecjalizowanych maszyn do szlifowania, oddzielania, filtrowania, mieszania, uzdatniania, wytapiania, walcowania, rafinowania lub innego przetwarzania metali i rud minera³ów; obserwowanie przyrz¹dów pomiarowych, mierników, wydruków komputerowych, monitorów wideo oraz produktów w celu kontroli prawid³owoœci dzia³ania maszyn i utrzymania okreœlonych warunków przetwarzania; regulacjê sprzêtu, zaworów, pomp, urz¹dzeñ steruj¹cych i sprzêtu przetwarzaj¹cego; kontrolê przygotowywania, pomiaru i zasilania urz¹dzeñ surowcami i œrodkami przetwórczymi; kontrolê rozpoczynania i zakañczania procesu, wykrywanie i usuwanie usterek oraz monitorowanie zewnêtrznego sprzêtu przetwarzaj¹cego; sprawdzanie sprzêtu pod k¹tem niesprawnoœci, przeprowadzanie rutynowych badañ dzia³ania oraz organizowanie prac konserwacyjnych; badanie próbek, przeprowadzanie testów, zapisywanie danych oraz dokonywanie wpisów w dziennikach produkcji; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8122;Operatorzy urz¹dzeñ do obróbki powierzchniowej metali i nak³adania pow³ok;Operatorzy urz¹dzeñ do obróbki powierzchniowej metali i nak³adania pow³ok zajmuj¹ siê obs³ug¹ i monitorowaniem sprzêtu przeznaczonego do obróbki wykañczaj¹cej, platerowania i nak³adania pow³ok na wyroby lub czêœci metalowe w celu nadania im zwiêkszonej odpornoœci na korozjê i œcieranie, na potrzeby dekoracji lub nadania im w³aœciwoœci elektrycznych lub magnetycznych.;"Zadania wykonywane przez operatorów urz¹dzeñ do obróbki powierzchniowej metali i nak³adania pow³ok zazwyczaj obejmuj¹: obs³ugê i monitorowanie urz¹dzeñ do oczyszczania powierzchni wyrobów metalowych, przygotowuj¹c je do powlekania elektrolitycznego, galwanizacji, emaliowania lub podobnych procesów; obs³ugê i monitorowanie urz¹dzeñ do powlekania elektrolitycznego; obs³ugê i monitorowanie urz¹dzeñ do powlekania ogniowego ¿elaza i produktów stalowych; obs³ugê i monitorowanie maszyn do automatycznego powlekania drutów metalami nie¿elaznymi; obs³ugê i monitorowanie sprzêtu przeznaczonego do natryskiwania produktów metalowych stopionym metalem i innymi substancjami w celu uzyskania pow³oki ochronnej, dekoracyjnej oraz odbudowy zu¿ytych lub zniszczonych powierzchni; obs³ugê i monitorowanie urz¹dzeñ przeznaczonych do nak³adania nierdzewnego wykoñczenia wyrobów metalowych poprzez obróbkê œrodkami chemicznymi i podgrzewanie; sprawdzanie prawid³owej gêstoœci pow³oki galwanicznej przy u¿yciu mikrometrów, macek i innych urz¹dzeñ do zapisywania danych oraz prowadzenie dzienników produkcji; przygotowywanie i mieszanie roztworów metalizuj¹cych zgodnie ze wzorami lub specyfikacjami; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8131;Operatorzy maszyn i urz¹dzeñ do produkcji wyrobów chemicznych;Operatorzy maszyn i urz¹dzeñ do produkcji wyrobów chemicznych obs³uguj¹ i monitoruj¹ urz¹dzenia oraz maszyny do mieszania, przetwarzania i pakowania szerokiego zakresu wyrobów: chemicznych, farmaceutycznych, kosmetycznych i sanitarnych, materia³ów wybuchowych i innych wyrobów.;"Zadania wykonywane przez operatorów maszyn i urz¹dzeñ do produkcji wyrobów chemicznych zazwyczaj obejmuj¹: nastawianie, uruchamianie, kontrolowanie, regulowanie i zatrzymywanie maszyn i urz¹dzeñ; monitorowanie procesów reakcji oraz przenoszenia produktów zgodnie z procedurami bezpieczeñstwa; monitorowanie mierników, przyrz¹dów pomiarowych i instrumentów elektronicznych lub innych urz¹dzeñ i aparatów chemicznych, takich jak: mieszacze, kocio³ki, mieszarki, suszarki, tabletkarki, maszyny granuluj¹ce, powlekaj¹ce i do hermetycznego pakowania; mierzenie, wa¿enie i wprowadzanie sk³adników chemicznych zgodnie z receptur¹; pobieranie próbek oraz przeprowadzanie rutynowych badañ chemicznych i fizycznych produktów oraz zapisywanie danych produkcyjnych; czyszczenie i dokonywanie drobnych napraw maszyn i urz¹dzeñ; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8132;Operatorzy urz¹dzeñ do produkcji materia³ów œwiat³oczu³ych i obróbki filmów;Operatorzy urz¹dzeñ do produkcji materia³ów œwiat³oczu³ych i obróbki filmów obs³uguj¹ i monitoruj¹ pracê urz¹dzeñ do wytwarzania filmów i papieru fotograficznego oraz do przetwarzania naœwietlonych filmów fotograficznych i sporz¹dzania odbitek.;"Zadania wykonywane przez operatorów urz¹dzeñ do produkcji materia³ów œwiat³oczu³ych i obróbki filmów zazwyczaj obejmuj¹: obs³ugê i monitorowanie urz¹dzeñ do wytwarzania filmów i papieru fotograficznego; obs³ugê, monitorowanie i testowanie urz¹dzeñ do przetwarzania fotografii i sporz¹dzania odbitek oraz przestrzeganie norm eksploatacji; przygotowywanie naœwietlonych filmów do ró¿nych form przetwarzania w ciemniach fotograficznych i optycznych; sprawdzanie obrazu, filmów, odbitek oraz regulowanie ustawieñ maszyny do odbitek w celu uzyskania po¿¹danego koloru, kontrastu, iloœci, rozmiaru i rodzaju odbitek; regulacjê ustawieñ i obs³ugê urz¹dzeñ do automatycznego wywo³ywania filmów; obs³ugê urz¹dzeñ do przenoszenia filmu na taœmê wideo lub na inne elektroniczne noœniki danych; wykonywanie czynnoœci zwi¹zanych z przetwarzaniem fotografii; obs³ugê urz¹dzeñ do automatycznego wywo³ywania negatywów kolorowych, sporz¹dzania odbitek i slajdów w punktach detalicznych; wykonywanie innych zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych pracowników.";
8141;Operatorzy maszyn do produkcji wyrobów gumowych;Operatorzy maszyn do produkcji wyrobów gumowych obs³uguj¹ i monitoruj¹ dzia³anie maszyn do ugniatania i mieszania gumy i mieszanek gumowych oraz wytwarzaj¹cych ró¿norakie komponenty oraz produkty z naturalnej i syntetycznej gumy, takie jak: profilowane obuwie, artyku³y gospodarstwa domowego, materia³y izolacyjne, akcesoria przemys³owe lub opony.;"Zadania wykonywane przez operatorów maszyn do produkcji wyrobów 
gumowych zazwyczaj obejmuj¹: obs³ugê i monitorowanie dzia³ania maszyn do 
ugniatania i mieszania gumy i mieszanek gumowych przeznaczonych do dalszego 
przetwarzania; obs³ugê i monitorowanie maszyn do wytwarzania arkuszy 
gumowych lub tkanin powlekanych gum¹ w procesie walcowania; obs³ugê 
i monitorowanie pracy maszyn wyt³aczaj¹cych mieszanki gumowe lub 
kszta³tuj¹cych gumê poprzez jej formowanie; obs³ugê i monitorowanie pracy 
maszyn nasadzaj¹cych opony na formie, wulkanizuj¹cych opony lub 
regeneruj¹cych zu¿yte opony; badanie gotowych produktów pod k¹tem usterek 
i zgodnoœci ze specyfikacjami; wykrywanie usterek i naprawianie zu¿ytych 
i wadliwych opon poprzez wulkanizacjê lub inne procesy; wykonywanie innych 
zadañ pokrewnych. Do ich zadañ mo¿e tak¿e nale¿eæ nadzorowanie innych 
pracowników";
